"","PhenocamID","Year","Snow_Free_Melt_Date","First_snow_free_day","First_snow_return_day_end_of_season","snow_coverage_end_of_season_100","First_bud_burst","First_leaf_yellow","All_leaves_yellow","SampleID_standard","Species","population","Snow_melt_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","growing_season","snow_free_days"
"22","CG2-2021",2022,2022-04-24,2022-04-24,2022-09-27,"13/10/2022",2022-05-06,2022-06-19,2022-08-12,"H17SR9","Salix richardsonii","Northern Garden",114,114,270,126,170,224,44,156
"23","CG2-2021",2023,2023-05-01,2023-05-01,NA,NA,NA,2023-07-05,2023-07-28,"H17SR9","Salix richardsonii","Northern Garden",121,121,NA,NA,186,209,NA,NA
"24","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-18,NA,"H15SA14","Salix arctica","Northern Garden",NA,NA,270,NA,199,NA,NA,NA
"25","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-11,221-08-15,"H17SA20","Salix arctica","Northern Garden",NA,NA,270,NA,192,227,NA,NA
"26","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-31,2021-08-30,"K15PSA8","Salix arctica","Southern Garden",NA,NA,270,NA,212,242,NA,NA
"27","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-05,2021-07-28,"H15SA7","Salix arctica","Northern Garden",NA,NA,270,NA,186,209,NA,NA
"28","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-06-27,2021-08-11,"K15PSA7","Salix arctica","Southern Garden",NA,NA,270,NA,178,223,NA,NA
"29","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,NA,NA,"K15PSA2","Salix arctica","Southern Garden",NA,NA,270,NA,NA,NA,NA,NA
"30","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,NA,NA,"H17SA17","Salix arctica","Northern Garden",NA,NA,270,NA,NA,NA,NA,NA
"31","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,NA,NA,"KP17SA9","Salix arctica","Southern Garden",NA,NA,270,NA,NA,NA,NA,NA
"32","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-30,NA,"K15PSA6","Salix arctica","Southern Garden",NA,NA,270,NA,211,NA,NA,NA
"33","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-07,2021-08-05,"H15SA12","Salix arctica","Northern Garden",NA,NA,270,NA,188,217,NA,NA
"34","CG3-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,NA,NA,"K15PSA12","Salix arctica","Southern Garden",NA,NA,270,NA,NA,NA,NA,NA
"35","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-09,2022-07-15,NA,"H15SA14","Salix arctica","Northern Garden",114,115,269,129,196,NA,67,154
"36","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-12,2022-07-01,2022-08-10,"H17SA20","Salix arctica","Northern Garden",114,115,269,132,182,222,50,154
"37","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-18,2022-08-01,2022-08-23,"K15PSA8","Salix arctica","Southern Garden",114,115,269,138,213,235,75,154
"38","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-09,2022-07-17,2022-08-18,"H15SA7","Salix arctica","Northern Garden",114,115,269,129,198,230,69,154
"39","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-13,2022-07-16,2023-08-20,"K15PSA7","Salix arctica","Southern Garden",114,115,269,133,197,232,64,154
"40","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-19,2022-08-14,NA,"K15PSA2","Salix arctica","Southern Garden",114,115,269,139,226,NA,87,154
"41","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",NA,NA,NA,"H17SA17","Salix arctica","Northern Garden",114,115,269,NA,NA,NA,NA,154
"42","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-20,2022-08-06,NA,"KP17SA9","Salix arctica","Southern Garden",114,115,269,140,218,NA,78,154
"43","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-18,2022-07-30,2022-08-24,"K15PSA6","Salix arctica","Southern Garden",114,115,269,138,211,236,73,154
"44","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-09,2022-06-21,2022-08-11,"H15SA12","Salix arctica","Northern Garden",114,115,269,129,172,223,43,154
"45","CG3-2021",2022,2022-04-24,2022-04-25,2022-09-26,"26/09/2022",2022-05-19,2022-07-29,2022-08-14,"K15PSA12","Salix arctica","Southern Garden",114,115,269,139,210,226,71,154
"46","CG4-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-01,2021-07-15,"H15SP15","Salix pulchra","Northern Garden",NA,NA,270,NA,182,196,NA,NA
"47","CG4-2021",2022,2022-04-22,2022-04-25,2022-09-26,"13/10/2022",2022-05-09,2022-06-24,2022-06-29,"H15SP15","Salix pulchra","Northern Garden",112,115,269,129,175,180,46,154
"48","CG4-2021",2023,2023-05-02,2023-05-03,NA,NA,NA,NA,NA,"H15SP15","Salix pulchra","Northern Garden",122,123,NA,NA,NA,NA,NA,NA
"49","CG5-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-16,2021-09-13,"KP16SR57","Salix richardsonii","Southern Garden",NA,NA,270,NA,228,256,NA,NA
"50","CG5-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-16,2021-09-12,"PP17SR16","Salix richardsonii","Southern Garden",NA,NA,270,NA,228,255,NA,NA
"51","CG5-2021",2022,2022-04-23,2022-04-25,2022-09-26,"13/10/2022",2022-05-19,2022-08-09,2021-09-15,"KP16SR57","Salix richardsonii","Southern Garden",113,115,269,139,221,258,82,154
"52","CG5-2021",2022,2022-04-23,2022-04-25,2022-09-26,"13/10/2022",2022-05-20,2021-08-03,2021-09-17,"PP17SR16","Salix richardsonii","Southern Garden",113,115,269,140,215,260,75,154
"53","CG5-2021",2023,2023-05-02,2023-05-03,NA,NA,2023-05-19,2023-08-08,NA,"KP16SR57","Salix richardsonii","Southern Garden",122,123,NA,139,220,NA,81,NA
"54","CG5-2021",2023,2023-05-02,2023-05-03,NA,NA,2023-05-21,2023-08-03,NA,"PP17SR16","Salix richardsonii","Southern Garden",122,123,NA,141,215,NA,74,NA
"55","KLUANECAM2",2021,2021-04-23,2021-04-25,2021-09-27,"12/10/2021",2021-05-18,2021-07-20,2021-09-02,"KLSRE9","Salix richardsonii","Southern Garden",113,115,270,138,201,245,63,155
"56","KLUANECAM2",2021,2021-04-23,2021-04-25,2021-09-27,"12/10/2021",2021-05-11,NA,2021-09-03,"KLSRE7","Salix richardsonii","Southern Garden",113,115,270,131,NA,246,NA,155
"57","KLUANECAM2",2021,2021-04-23,2021-04-25,2021-09-27,"12/10/2021",2021-05-09,NA,2021-09-01,"KLSRE6","Salix richardsonii","Southern Garden",113,115,270,129,NA,244,NA,155
"58","KLUANECAM2",2021,2021-04-23,2021-04-25,2021-09-27,"12/10/2021",NA,NA,NA,"HESR7","Salix richardsonii","Northern Garden",113,115,270,NA,NA,NA,NA,155
"59","KLUANECAM2",2021,2021-04-23,2021-04-25,2021-09-27,"12/10/2021",NA,NA,NA,"H15SR20","Salix richardsonii","Northern Garden",113,115,270,NA,NA,NA,NA,155
"60","KLUANECAM2",2021,2021-04-23,2021-04-25,2021-09-27,"12/10/2021",2021-05-19,2021-07-12,2021-07-23,"H15SR19","Salix richardsonii","Northern Garden",113,115,270,139,193,204,54,155
"61","KLUANECAM2",2021,2021-04-23,2021-04-25,2021-09-27,"12/10/2021",NA,2021-07-05,2021-07-16,"HESR8","Salix richardsonii","Northern Garden",113,115,270,NA,186,197,NA,155
"62","KLUANECAM2",2022,2022-04-23,2022-04-24,2022-09-26,"26/09/2022",2022-05-17,2022-08-13,2022-09-09,"KLSRE9","Salix richardsonii","Southern Garden",113,114,269,137,225,252,88,155
"63","KLUANECAM2",2022,2022-04-23,2022-04-24,2022-09-26,"26/09/2022",2022-05-18,NA,NA,"KLSRE7","Salix richardsonii","Southern Garden",113,114,269,138,NA,NA,NA,155
"64","KLUANECAM2",2022,2022-04-23,2022-04-24,2022-09-26,"26/09/2022",2022-05-11,NA,2022-09-07,"KLSRE6","Salix richardsonii","Southern Garden",113,114,269,131,NA,250,NA,155
"65","KLUANECAM2",2022,2022-04-23,2022-04-24,2022-09-26,"26/09/2022",2022-05-19,2022-07-24,2022-08-09,"HESR7","Salix richardsonii","Northern Garden",113,114,269,139,205,221,66,155
"66","KLUANECAM2",2022,2022-04-23,2022-04-24,2022-09-26,"26/09/2022",2022-05-19,2022-07-06,2022-07-20,"H15SR20","Salix richardsonii","Northern Garden",113,114,269,139,187,201,48,155
"67","KLUANECAM2",2022,2022-04-23,2022-04-24,2022-09-26,"26/09/2022",2022-05-22,2022-05-18,2022-08-12,"H15SR19","Salix richardsonii","Northern Garden",113,114,269,142,138,224,-4,155
"68","KLUANECAM2",2022,2022-04-23,2022-04-24,2022-09-26,"26/09/2022",2022-05-20,2022-07-16,2022-07-30,"HESR8","Salix richardsonii","Northern Garden",113,114,269,140,197,211,57,155
"69","KLUANECAM2",2023,2023-04-30,2023-05-02,NA,NA,2023-05-21,2023-08-05,NA,"KLSRE9","Salix richardsonii","Southern Garden",120,122,NA,141,217,NA,76,NA
"70","KLUANECAM2",2023,2023-04-30,2023-05-02,NA,NA,NA,NA,NA,"KLSRE7","Salix richardsonii","Southern Garden",120,122,NA,NA,NA,NA,NA,NA
"71","KLUANECAM2",2023,2023-04-30,2023-05-02,NA,NA,2023-05-16,2023-08-14,NA,"KLSRE6","Salix richardsonii","Southern Garden",120,122,NA,136,226,NA,90,NA
"72","KLUANECAM2",2023,2023-05-01,2023-05-02,NA,NA,2023-05-18,2023-07-16,2023-07-31,"HESR7","Salix richardsonii","Northern Garden",121,122,NA,138,197,212,59,NA
"73","KLUANECAM2",2023,2023-05-01,2023-05-02,NA,NA,2023-05-18,NA,NA,"H15SR20","Salix richardsonii","Northern Garden",121,122,NA,138,NA,NA,NA,NA
"74","KLUANECAM2",2023,2023-05-01,2023-05-02,NA,NA,2023-05-17,2023-07-23,2023-08-06,"H15SR19","Salix richardsonii","Northern Garden",121,122,NA,137,204,218,67,NA
"75","KLUANECAM2",2023,2023-05-01,2023-05-02,NA,NA,2023-05-19,2023-06-20,2023-07-17,"HESR8","Salix richardsonii","Northern Garden",121,122,NA,139,171,198,32,NA
"76","KLUANECAM10",2021,2021-04-23,2021-04-24,2021-09-27,"12/10/2021",2021-05-08,2021-06-24,2021-05-16,"HERSP12","Salix pulchra","Northern Garden",113,114,270,128,175,136,47,156
"77","KLUANECAM10",2021,2021-04-23,2021-04-24,2021-09-27,"12/10/2021",NA,NA,NA,"KLSPE12","Salix pulchra","Southern Garden",113,114,270,NA,NA,NA,NA,156
"78","KLUANECAM10",2021,2021-04-24,2021-04-25,2021-09-27,"12/10/2021",2021-05-20,2021-08-12,2021-09-10,"KLSPE11","Salix pulchra","Southern Garden",114,115,270,140,224,253,84,155
"79","KLUANECAM10",2021,2021-04-25,2021-04-26,2021-09-27,"12/10/2021",2021-05-19,2021-08-10,2021-08-29,"KLSPE14","Salix pulchra","Southern Garden",115,116,270,139,222,241,83,154
"80","KLUANECAM10",2021,2022-04-26,2022-04-27,2021-09-27,"12/10/2021",NA,NA,2021-07-18,"HERSP11","Salix pulchra","Northern Garden",116,117,270,NA,NA,199,NA,153
"81","KLUANECAM10",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",2022-05-18,NA,2022-08-04,"HERSP12","Salix pulchra","Northern Garden",113,114,269,138,NA,216,NA,155
"82","KLUANECAM10",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",2022-05-27,2022-08-28,2022-09-14,"KLSPE12","Salix pulchra","Southern Garden",113,114,269,147,240,257,93,155
"83","KLUANECAM10",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",2022-05-25,NA,NA,"KLSPE11","Salix pulchra","Southern Garden",113,114,269,145,NA,NA,NA,155
"84","KLUANECAM10",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",2022-05-23,2022-08-24,2022-09-06,"KLSPE14","Salix pulchra","Southern Garden",113,114,269,143,236,249,93,155
"85","KLUANECAM10",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",2022-05-20,NA,2022-08-05,"HERSP11","Salix pulchra","Northern Garden",113,114,269,140,NA,217,NA,155
"86","KLUANECAM10",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,2022-08-03,2022-08-08,"HESP17","Salix pulchra","Northern Garden",113,114,269,NA,215,220,NA,155
"87","KLUANECAM10",2023,2023-05-02,2023-05-03,NA,NA,2023-05-19,2023-07-12,2023-08-08,"HERSP12","Salix pulchra","Northern Garden",122,123,NA,139,193,220,54,NA
"88","KLUANECAM10",2023,2023-05-02,2023-05-03,NA,NA,2023-05-17,2023-07-18,2023-08-23,"KLSPE14","Salix pulchra","Southern Garden",122,123,NA,137,199,235,62,NA
"89","KLUANECAM10",2023,2023-05-02,2023-05-03,NA,NA,2023-05-21,2023-08-14,NA,"KLSPE12","Salix pulchra","Southern Garden",122,123,NA,141,226,NA,85,NA
"90","KLUANECAM10",2023,2023-05-02,2023-05-03,NA,NA,2023-05-20,2023-08-15,NA,"KLSPE11","Salix pulchra","Southern Garden",122,123,NA,140,227,NA,87,NA
"91","KLUANECAM10",2023,NA,NA,NA,NA,NA,NA,NA,"HESP17","Salix pulchra","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"92","CG6-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-10,2021-09-15,"KP16SR37","Salix richardsonii","Southern Garden",NA,NA,270,NA,191,258,NA,NA
"93","CG6-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-22,2021-09-16,"PC17SR4","Salix richardsonii","Southern Garden",NA,NA,270,NA,234,259,NA,NA
"94","CG6-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-30,2021-09-21,"PC17SR5
","Salix richardsonii","Southern Garden",NA,NA,270,NA,242,264,NA,NA
"95","CG6-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-14,2021-09-06,"KP16SR52","Salix richardsonii","Southern Garden",NA,NA,270,NA,195,249,NA,NA
"96","CG6-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-22,2021-08-31,"KP16SR53
","Salix richardsonii","Southern Garden",NA,NA,270,NA,234,243,NA,NA
"97","CG6-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-30,2021-08-10,"PC17SR6
","Salix richardsonii","Southern Garden",NA,NA,270,NA,242,222,NA,NA
"98","CG6-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-07-01,2021-07-30,"H17SR15
","Salix richardsonii","Northern Garden",NA,NA,270,NA,182,211,NA,NA
"99","CG6-2021",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-06-28,2021-07-22,"H18SR10","Salix richardsonii","Northern Garden",NA,NA,270,NA,179,203,NA,NA
"100","CG6-2021",2022,NA,NA,NA,NA,NA,NA,NA,"KP16SR37","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"101","CG6-2021",2022,NA,NA,NA,NA,NA,NA,NA,"PC17SR4","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"102","CG6-2021",2022,NA,NA,NA,NA,NA,NA,NA,"PC17SR5
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"103","CG6-2021",2022,NA,NA,NA,NA,NA,NA,NA,"KP16SR52","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"104","CG6-2021",2022,NA,NA,NA,NA,NA,NA,NA,"KP16SR53
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"105","CG6-2021",2022,NA,NA,NA,NA,NA,NA,NA,"PC17SR6
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"106","CG6-2021",2022,NA,NA,NA,NA,NA,NA,NA,"H17SR15
","Salix richardsonii","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"107","CG6-2021",2022,NA,NA,NA,NA,NA,NA,NA,"H18SR10","Salix richardsonii","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"108","CG6-2021",2023,NA,NA,NA,NA,NA,NA,NA,"KP16SR37","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"109","CG6-2021",2023,NA,NA,NA,NA,NA,NA,NA,"PC17SR4","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"110","CG6-2021",2023,NA,NA,NA,NA,NA,NA,NA,"PC17SR5
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"111","CG6-2021",2023,NA,NA,NA,NA,NA,NA,NA,"KP16SR52","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"112","CG6-2021",2023,NA,NA,NA,NA,NA,NA,NA,"KP16SR53
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"113","CG6-2021",2023,NA,NA,NA,NA,NA,NA,NA,"PC17SR6
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"114","CG6-2021",2023,NA,NA,NA,NA,NA,NA,NA,"H17SR15
","Salix richardsonii","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"115","CG6-2021",2023,NA,NA,NA,NA,NA,NA,NA,"H18SR10","Salix richardsonii","Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"116","KLUANECAM3",2021,2021-04-23,2021-04-26,2021-09-27,"12/10/2021",2021-05-22,2021-08-05,2021-09-08,"KLSRC13","Salix richardsonii","Southern Garden",113,116,270,142,217,251,75,154
"117","KLUANECAM3",2021,2021-04-24,2021-04-27,2021-09-27,"12/10/2021",2021-05-20,2021-08-07,2021-09-10,"KLSRE15","Salix richardsonii","Southern Garden",114,117,270,140,219,253,79,153
"118","KLUANECAM3",2021,2021-04-25,2021-04-28,2021-09-27,"12/10/2021",2021-05-21,2021-08-06,2021-08-31,"KLSRE14","Salix richardsonii","Southern Garden",115,118,270,141,218,243,77,152
"119","KLUANECAM3",2021,2021-04-26,2021-04-29,2021-09-27,"12/10/2021",2021-05-20,2021-08-08,2021-09-05,"KLSRE13","Salix richardsonii","Southern Garden",116,119,270,140,220,248,80,151
"120","KLUANECAM3",2021,2021-04-27,2021-04-30,2021-09-27,"12/10/2021",2021-05-22,2021-08-07,2021-09-07,"KLSRC10","Salix richardsonii","Southern Garden",117,120,270,142,219,250,77,150
"121","KLUANECAM3",2021,2021-04-28,2021-05-01,2021-09-27,"12/10/2021",2021-05-19,2021-08-12,2021-08-21,"H15SP27","Salix pulchra","Northern Garden",118,121,270,139,224,233,85,149
"122","KLUANECAM3",2021,2021-04-29,2021-05-02,2021-09-27,"12/10/2021",2021-05-15,2021-07-29,2021-08-31,"PC16CESP7","Salix pulchra","Southern Garden",119,122,270,135,210,243,75,148
"123","KLUANECAM3",2021,2021-04-30,2021-05-03,2021-09-27,"12/10/2021",2021-05-19,2021-06-23,2021-07-21,"H17SP10","Salix pulchra","Northern Garden",120,123,270,139,174,202,35,147
"124","KLUANECAM3",2021,2021-05-01,2021-05-04,2021-09-27,"12/10/2021",NA,2021-08-03,2021-08-06,"HERSP29","Salix pulchra","Northern Garden",121,124,270,NA,215,218,NA,146
"125","KLUANECAM3",2021,2021-05-02,2021-05-05,2021-09-27,"12/10/2021",2021-05-20,NA,NA,"KP17SP9","Salix pulchra","Southern Garden",122,125,270,140,NA,NA,NA,145
"126","KLUANECAM3",2021,2021-05-03,2021-05-06,2021-09-27,"12/10/2021",2021-05-23,2021-07-16,2021-08-16,"KP16SP33","Salix pulchra","Southern Garden",123,126,270,143,197,228,54,144
"127","KLUANECAM3",2021,2021-05-04,2021-05-07,2021-09-27,"12/10/2021",2021-05-19,2021-07-08,2021-07-16,"H15SP29","Salix pulchra","Northern Garden",124,127,270,139,189,197,50,143
"128","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,2022-08-17,2022-09-16,"KLSRC13","Salix richardsonii","Southern Garden",109,110,269,NA,229,259,NA,159
"129","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,2022-09-12,2022-09-17,"KLSRE15","Salix richardsonii","Southern Garden",109,110,269,NA,255,260,NA,159
"130","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,2022-08-15,2022-09-02,"KLSRE14","Salix richardsonii","Southern Garden",109,110,269,NA,227,245,NA,159
"131","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,2022-09-05,2022-09-13,"KLSRE13","Salix richardsonii","Southern Garden",109,110,269,NA,248,256,NA,159
"132","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,NA,NA,"KLSRC10","Salix richardsonii","Southern Garden",109,110,269,NA,NA,NA,NA,159
"133","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,NA,NA,"H15SP27","Salix pulchra","Northern Garden",109,110,269,NA,NA,NA,NA,159
"134","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,NA,NA,"PC16CESP7","Salix pulchra","Southern Garden",109,110,269,NA,NA,NA,NA,159
"135","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,2022-07-15,2022-08-03,"H17SP10","Salix pulchra","Northern Garden",109,110,269,NA,196,215,NA,159
"136","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,NA,NA,"HERSP29","Salix pulchra","Northern Garden",109,110,269,NA,NA,NA,NA,159
"137","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,NA,NA,"KP17SP9","Salix pulchra","Southern Garden",109,110,269,NA,NA,NA,NA,159
"138","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,2022-08-16,2022-09-05,"KP16SP33","Salix pulchra","Southern Garden",109,110,269,NA,228,248,NA,159
"139","KLUANECAM3",2022,2022-04-19,2022-04-20,2022-09-26,"13/10/2022",NA,2022-07-17,2022-07-26,"H15SP29","Salix pulchra","Northern Garden",109,110,269,NA,198,207,NA,159
"140","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-23,2023-08-23,NA,"KLSRC13","Salix richardsonii","Southern Garden",121,122,NA,143,235,NA,92,NA
"141","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-20,2023-08-22,NA,"KLSRE15","Salix richardsonii","Southern Garden",121,122,NA,140,234,NA,94,NA
"142","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-23,2023-08-15,NA,"KLSRE14","Salix richardsonii","Southern Garden",121,122,NA,143,227,NA,84,NA
"143","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,NA,NA,NA,"KLSRE13","Salix richardsonii","Southern Garden",121,122,NA,NA,NA,NA,NA,NA
