"","Species","PhenocamID","Year","All_snow_free_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","population","Site","Snow_Free_Melt_Date","First_snow_free_day","First_snow_return_day_end_of_season","First_bud_burst","First_leaf_yellow","All_leaves_yellow","Snow_melt_DOY","Snow_return_EoS_DOY","growing_season","snow_free_days"
"24","Salix arctica","M2",2022,131,162,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Salix arctica","F3",2022,146,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"26","Salix arctica","M3",2022,131,162,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Salix arctica","F4",2022,131,175,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Salix arctica","M4",2022,131,166,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Salix arctica","F5",2022,131,166,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Salix arctica","M5",2022,131,166,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
"31","Salix arctica","F6",2022,146,162,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Salix arctica","M6",2022,131,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"33","Salix arctica","F7",2022,146,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"34","Salix arctica","M7",2022,146,150,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Salix arctica","F8",2022,131,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"36","Salix arctica","M8",2022,131,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"37","Salix arctica","F9",2022,143,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"38","Salix arctica","M9",2022,143,162,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Salix arctica","F10",2022,143,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"40","Salix arctica","M10",2022,131,162,194,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA
"41","Salix arctica","F1",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Salix arctica","M1",2019,142,133,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Salix arctica","F2",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Salix arctica","M2",2019,142,133,196,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"45","Salix arctica","F3",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Salix arctica","M3",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Salix arctica","F4",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Salix arctica","M4",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Salix arctica","F5",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Salix arctica","M5",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Salix arctica","F6",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Salix arctica","M6",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Salix arctica","F7",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Salix arctica","M7",2019,142,136,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Salix arctica","F8",2019,142,142,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Salix arctica","M8",2019,139,142,193,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"57","Salix arctica","F9",2019,139,139,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Salix arctica","M9",2019,136,142,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Salix arctica","F10",2019,139,142,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Salix arctica","M10",2019,139,142,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Salix arctica","F1",2018,162,171,211,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA
"62","Salix arctica","M1",2018,162,171,205,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
"63","Salix arctica","F2",2018,162,175,201,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
"64","Salix arctica","M2",2018,162,175,213,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"65","Salix arctica","F3",2018,171,177,205,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
"66","Salix arctica","M3",2018,162,171,205,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
"67","Salix arctica","F4",2018,168,171,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Salix arctica","M4",2018,162,183,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Salix arctica","F5",2018,168,NA,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Salix arctica","M5",2018,168,168,213,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"71","Salix arctica","F6",2018,162,NA,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Salix arctica","M6",2018,162,201,213,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
"73","Salix arctica","F7",2018,162,NA,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Salix arctica","M7",2018,162,NA,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Salix arctica","F8",2018,162,171,213,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA
"76","Salix arctica","M8",2018,162,168,205,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
"77","Salix arctica","F9",2018,168,201,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Salix arctica","M9",2018,162,171,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Salix arctica","F10",2018,162,171,205,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
"80","Salix arctica","M10",2018,162,168,205,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA
"81","Salix arctica","F1",2017,147,159,198,246,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA
"82","Salix arctica","M1",2017,147,150,198,183,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA
"83","Salix arctica","F2",2017,147,159,238,231,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA
"84","Salix arctica","M2",2017,147,153,238,210,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA
"85","Salix arctica","F3",2017,147,163,204,228,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"86","Salix arctica","M3",2017,147,159,198,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA
"87","Salix arctica","F4",2017,147,156,204,231,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA
"88","Salix arctica","M4",2017,147,165,204,238,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA
"89","Salix arctica","F5",2017,147,159,204,219,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"90","Salix arctica","M5",2017,147,NA,238,240,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Salix arctica","F6",2017,147,160,238,238,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA
"92","Salix arctica","M6",2017,147,163,210,228,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA
"93","Salix arctica","F7",2017,147,153,210,228,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA
"94","Salix arctica","M7",2017,147,163,238,238,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
"95","Salix arctica","F8",2017,147,159,210,231,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"96","Salix arctica","M8",2017,147,150,204,228,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA
"97","Salix arctica","F9",2017,147,163,204,238,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"98","Salix arctica","M9",2017,147,150,210,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
"99","Salix arctica","F10",2017,147,150,210,229,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
"100","Salix arctica","M10",2017,147,153,189,238,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA
"101","Salix arctica","F1",2016,144,156,210,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA
"102","Salix arctica","F10",2016,142,156,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"103","Salix arctica","F2",2016,144,159,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"104","Salix arctica","F3",2016,144,159,189,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
"105","Salix arctica","F4",2016,144,159,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"106","Salix arctica","F5",2016,142,166,210,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA
"107","Salix arctica","F6",2016,144,159,204,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"108","Salix arctica","F7",2016,142,156,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"109","Salix arctica","F8",2016,142,156,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"110","Salix arctica","F9",2016,142,156,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"111","Salix arctica","M1",2016,144,159,204,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"112","Salix arctica","M10",2016,142,159,189,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
"113","Salix arctica","M2",2016,144,156,207,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
"114","Salix arctica","M3",2016,142,159,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"115","Salix arctica","M4",2016,142,NA,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Salix arctica","M5",2016,144,177,NA,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Salix arctica","M6",2016,144,159,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"118","Salix arctica","M7",2016,142,159,214,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"119","Salix arctica","M8",2016,142,156,197,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA
"120","Salix arctica","M9",2016,142,147,207,NA,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
"121","Salix arctica","F1",2015,137,144,212,223,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA
"122","Salix arctica","F10",2015,137,137,212,227,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
"123","Salix arctica","F2",2015,137,141,200,223,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA
"124","Salix arctica","F3",2015,137,147,196,233,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA
"125","Salix arctica","F4",2015,137,144,212,233,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA
"126","Salix arctica","F5",2015,137,137,217,227,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA
"127","Salix arctica","F6",2015,137,NA,217,223,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Salix arctica","F7",2015,137,137,212,227,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
"129","Salix arctica","F8",2015,137,141,196,227,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"130","Salix arctica","F9",2015,137,141,200,227,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA
"131","Salix arctica","M1",2015,137,144,200,223,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA
"132","Salix arctica","M10",2015,137,141,196,227,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"133","Salix arctica","M2",2015,137,141,200,233,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA
"134","Salix arctica","M3",2015,137,141,212,223,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA
"135","Salix arctica","M4",2015,137,141,212,233,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA
"136","Salix arctica","M5",2015,137,141,196,227,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"137","Salix arctica","M6",2015,137,141,196,223,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"138","Salix arctica","M7",2015,137,141,200,227,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA
"139","Salix arctica","M8",2015,137,141,217,223,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA
"140","Salix arctica","M9",2015,137,141,196,233,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA
"141","Salix arctica","F1",2014,150,168,213,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"142","Salix arctica","F10",2014,135,135,216,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
"143","Salix arctica","F2",2014,150,166,196,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
"144","Salix arctica","F3",2014,156,166,213,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA
"145","Salix arctica","F4",2014,144,196,213,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"146","Salix arctica","F5",2014,144,166,NA,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Salix arctica","F6",2014,144,166,231,240,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA
"148","Salix arctica","F7",2014,135,153,216,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"149","Salix arctica","F8",2014,135,150,204,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA
"150","Salix arctica","F9",2014,135,150,225,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA
"151","Salix arctica","M1",2014,150,159,213,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA
"152","Salix arctica","M10",2014,135,147,213,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA
"153","Salix arctica","M2",2014,150,159,231,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA
"154","Salix arctica","M3",2014,150,166,216,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"155","Salix arctica","M4",2014,144,166,204,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"156","Salix arctica","M5",2014,144,159,204,216,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
"157","Salix arctica","M6",2014,135,153,227,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
"158","Salix arctica","M7",2014,135,150,231,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
"159","Salix arctica","M8",2014,135,147,183,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA
"160","Salix arctica","M9",2014,135,150,222,234,"Northern Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA
"161","Salix arctica","QHI_1",2019,159,NA,206,NA,"Northern Source","QHI",NA,2019-06-08,NA,NA,2019-07-25,NA,NA,NA,NA,NA
"162","Salix arctica","QHI_2",2019,159,NA,NA,NA,"Northern Source","QHI",NA,2019-06-08,NA,NA,NA,NA,NA,NA,NA,NA
"163","Salix richardsonii","QHI_14 (prev called Phenocam 4)",2019,165,NA,NA,NA,"Northern Source","QHI",NA,2019-06-14,NA,NA,NA,NA,NA,NA,NA,NA
"164","Salix arctica","QHI_1",2018,162,175,NA,NA,"Northern Source","QHI",2018-06-07,2018-06-11,NA,2018-06-24,NA,NA,158,NA,NA,NA
"165","Salix arctica","QHI_2",2018,165,NA,NA,NA,"Northern Source","QHI",NA,2018-06-14,NA,NA,NA,NA,NA,NA,NA,NA
"166","Salix pulchra","QHI_3",2018,165,176,NA,NA,"Northern Source","QHI",2018-06-12,2018-06-14,NA,2018-06-25,NA,NA,163,NA,NA,NA
"167","Salix richardsonii","QHI_14 (prev called Phenocam 4)",2018,172,177,NA,NA,"Northern Source","QHI",2018-07-02,2018-06-21,2018-08-30,2018-06-26,NA,NA,183,242,NA,70
"168","Salix arctica","QHI_5",2018,165,NA,NA,NA,"Northern Source","QHI",NA,2018-06-14,NA,NA,NA,NA,NA,NA,NA,NA
"169","Salix pulchra","QHI_6",2018,165,175,228,254,"Northern Source","QHI",2018-06-12,2018-06-14,2018-09-02,2018-06-24,2018-08-16,2018-09-11,163,245,53,80
"170","Salix arctica","QHI_1",2017,150,168,211,247,"Northern Source","QHI",2017-05-27,2017-05-30,NA,2017-06-17,2017-07-30,2017-09-04,147,NA,43,NA
"171","Salix arctica","QHI_2",2017,150,162,221,NA,"Northern Source","QHI",NA,2017-05-30,NA,2017-06-11,2017-08-09,NA,NA,NA,59,NA
"172","Salix pulchra","QHI_3",2017,139,169,221,246,"Northern Source","QHI",2017-05-16,2017-05-19,NA,2017-06-18,2017-08-09,2017-09-03,136,NA,52,NA
"173","Salix richardsonii","QHI_14 (prev called Phenocam 4)",2017,159,NA,217,NA,"Northern Source","QHI",2017-06-04,2017-06-08,NA,NA,2017-08-05,NA,155,NA,NA,NA
"174","Salix arctica","QHI_5",2017,148,167,221,NA,"Northern Source","QHI",2017-05-15,2017-05-28,NA,2017-06-16,2017-08-09,NA,135,NA,54,NA
"175","Salix pulchra","QHI_6",2017,139,161,207,236,"Northern Source","QHI",2017-05-17,2017-05-19,NA,2017-06-10,2017-07-26,2017-08-24,137,NA,46,NA
"176","Salix arctica","QHI_1",2016,158,NA,211,NA,"Northern Source","QHI",NA,2016-06-06,NA,NA,2016-07-29,NA,NA,NA,NA,NA
"177","Salix arctica","QHI_2",2016,158,NA,211,NA,"Northern Source","QHI",NA,2016-06-06,NA,NA,2016-07-29,NA,NA,NA,NA,NA
"178","Salix pulchra","QHI_3",2016,158,NA,NA,NA,"Northern Source","QHI",NA,2016-06-06,NA,NA,NA,NA,NA,NA,NA,NA
"179","Salix richardsonii","QHI_14 (prev called Phenocam 4)",2016,164,NA,NA,241,"Northern Source","QHI",2016-06-25,2016-06-12,NA,NA,NA,2016-08-28,177,NA,NA,NA
"180","Salix arctica","QHI_5",2016,158,NA,211,239,"Northern Source","QHI",NA,2016-06-06,NA,NA,2016-07-29,2016-08-26,NA,NA,NA,NA
"181","Salix pulchra","QHI_6",2016,158,NA,NA,240,"Northern Source","QHI",NA,2016-06-06,NA,NA,NA,2016-08-27,NA,NA,NA,NA
"182","Salix pulchra","KP1",2021,172,NA,201,255,"Southern Source","Kluane",NA,2021-06-21,2021-08-28,NA,2021-07-20,2021-09-12,NA,240,NA,68
"183","Salix pulchra","KP2",2021,172,NA,200,223,"Southern Source","Kluane",NA,2021-06-21,2021-08-28,NA,2021-07-19,2021-08-11,NA,240,NA,68
"184","Salix richardsonii","KP7",2021,174,NA,202,239,"Southern Source","Kluane",NA,2021-06-23,2021-08-28,NA,2021-07-21,2021-08-27,NA,240,NA,66
"185","Salix richardsonii","KP3",2021,172,NA,199,255,"Southern Source","Kluane",NA,2021-06-21,2021-08-28,NA,2021-07-18,2021-09-12,NA,240,NA,68
"186","Salix pulchra","KP5",2021,172,NA,223,247,"Southern Source","Kluane",NA,2021-06-21,2021-08-28,NA,2021-08-11,2021-09-04,NA,240,NA,68
"187","Salix richardsonii","KP9",2021,174,NA,193,251,"Southern Source","Kluane",NA,2021-06-23,2021-08-28,NA,2021-07-12,2021-09-08,NA,240,NA,66
"188","Salix pulchra","KP4",2021,172,NA,225,246,"Southern Source","Kluane",NA,2021-06-21,2021-08-28,NA,2021-08-13,2021-09-03,NA,240,NA,68
"189","Salix richardsonii","KP6",2021,177,NA,215,246,"Southern Source","Kluane",NA,2021-06-26,2021-08-28,NA,2021-08-03,2021-09-03,NA,240,NA,63
"190","Salix richardsonii","KP8",2021,174,NA,216,246,"Southern Source","Kluane",NA,2021-06-23,2021-08-28,NA,2021-08-04,2021-09-03,NA,240,NA,66
"191","Salix pulchra","KP1",2022,174,174,229,261,"Southern Source","Kluane",2022-06-18,2022-06-23,2022-09-26,2022-06-23,2022-08-17,2022-09-18,169,269,55,95
"192","Salix pulchra","KP2",2022,174,173,226,260,"Southern Source","Kluane",NA,2022-06-23,2022-09-26,2022-06-22,2022-08-14,2022-09-17,NA,269,53,95
"193","Salix richardsonii","KP7",2022,167,170,224,247,"Southern Source","Kluane",2022-06-15,2022-06-16,2022-09-26,2022-06-19,2022-08-12,2022-09-04,166,269,54,102
"194","Salix richardsonii","KP3",2022,173,174,208,258,"Southern Source","Kluane",2022-06-21,2022-06-22,2022-09-26,2022-06-23,2022-07-27,2022-09-15,172,269,34,96
"195","Salix pulchra","KP5",2022,169,177,NA,NA,"Southern Source","Kluane",2022-06-17,2022-06-18,2022-09-26,2022-06-26,NA,NA,168,269,NA,100
"196","Salix richardsonii","KP9",2022,170,175,228,NA,"Southern Source","Kluane",2022-06-18,2022-06-19,2022-09-26,2022-06-24,2022-08-16,NA,169,269,53,99
"197","Salix pulchra","KP4",2022,172,175,227,254,"Southern Source","Kluane",2022-06-19,2022-06-21,2022-09-26,2022-06-24,2022-08-15,2022-09-11,170,269,52,97
"198","Salix richardsonii","KP6",2022,179,176,233,NA,"Southern Source","Kluane",2022-06-26,2022-06-28,NA,2022-06-25,2022-08-21,NA,177,NA,57,NA
"199","Salix richardsonii","KP8",2022,173,178,226,NA,"Southern Source","Kluane",2022-06-21,2022-06-22,NA,2022-06-27,2022-08-14,NA,172,NA,48,NA
