PLOT,Year,Site,Observer,NOTES,Plants_first_visible_through_snow,Snow_Free_Melt_Date,First_snow_free_day,First_snow_return_day _end_of_season,50_snow_coverge_end_of_season,100_snow_coverage_end_of_season,First_leaf_bud_burst,50_Leaves_Green,100_Leaves_Green,First_yellow_leaf,50_Leaves_Yellow,100_Leaves_Yellow,Species,First_Leaf_Bud_Burst,First_Yellowing_of_Leaves,Last_Leaf_Turns_Yellow
QHI_8,2022,QHI,Elise Gallois,,NA,NA,30/06/2022,25/09/2022,09/10/2022,NA,NA,NA,NA,05/08/2022,06/09/2022,24/09/2022,Reticulata,NA,NA,NA
QHI_9,2022,QHI,Elise Gallois,,NA,NA,12/06/2022,25/09/2022,10/10/2022,27/10/2022,NA,NA,NA,24/07/2022,16/08/2022,25/09/2022,Richardsonii,NA,24/07/2022,01/09/2022
QHI_10,2022,QHI,Elise Gallois,,NA,NA,26/05/2022,25/09/2022,NA,NA,NA,NA,NA,04/08/2022,25/08/2022,22/09/2022,Arctica,NA,04/08/2022,01/09/2022
QHI_11,2022,QHI,Elise Gallois,,NA,NA,26/05/2022,NA,NA,NA,NA,NA,NA,26/07/2022,21/08/2022,NA,Richarsonii,NA,26/07/2022,02/09/2022
QHI_12,2022,QHI,Elise Gallois,,NA,NA,16/06/2022,NA,NA,NA,NA,NA,NA,28/07/2022,24/08/2022,17/09/2022,Pulchra,NA,28/07/2022,02/09/2022
QHI_13,2022,QHI,Elise Gallois,,NA,NA,16/06/2022,NA,NA,NA,NA,NA,NA,27/07/2022,NA,NA,Arctica,NA,27/07/2022,NA
QHI_14,2022,QHI,Elise Gallois,,NA,NA,28/06/2022,NA,NA,NA,NA,NA,NA,07/08/2022,NA,NA,Richardsonii,NA,07/08/2022,NA
QHI_15,2022,QHI,Elise Gallois,,NA,NA,13/06/2022,27/09/2022,09/10/2022,NA,NA,NA,NA,02/08/2022,25/08/2022,13/09/2022,Pulchra,NA,02/08/2022,08/09/2022
QHI_16,2022,QHI,Elise Gallois,,NA,NA,13/06/2022,25/09/2022,09/10/2022,27/10/2022,NA,NA,NA,30/07/2022,22/08/2022,26/09/2022,Reticulata,NA,NA,NA
QHI_17,2022,QHI,Elise Gallois,,NA,NA,13/06/2022,NA,NA,NA,NA,NA,NA,01/08/2022,25/08/2022,NA,Reticulata,NA,NA,NA
QHI_18,2022,QHI,Elise Gallois,,NA,NA,30/06/2022,25/09/2022,03/10/2022,NA,NA,NA,NA,10/08/2022,24/08/2022,22/09/2022,Arctica,NA,04/08/2022,30/08/2022
QHI_19,2022,QHI,Elise Gallois,,NA,NA,26/06/2022,25/09/2022,09/10/2022,NA,NA,NA,NA,28/07/2022,19/08/2022,20/09/2022,Arctica,NA,28/07/2022,27/08/2022
QHI_20,2022,QHI,Elise Gallois,,NA,NA,26/06/2022,NA,NA,NA,NA,NA,NA,26/07/2022,22/08/2022,NA,Arctica,NA,26/07/2022,29/08/2022
NIW_08,2022,Niwot Ridge,Elise Gallois,,NA,6/6/2022,7/6/2022,23/10/2022,24/10/2022,30/10/2022,5/6/2022,17/6/2022,10/7/2022,25/7/2022,3/9/2022,12/10/2022,,,,
NIW_11,2022,Niwot Ridge,Elise Gallois,,NA,NA,8/6/2022,23/10/2022,23/10/2022,27/10/2022,NA,NA,44748,44769,44800,44852,,,,
NIW_12,2022,Niwot Ridge,Elise Gallois,,NA,6/6/2022,10/6/2022,23/10/2022,23/10/2022,27/10/2022,8/6/2022,20/6/2022,9/7/2022,24/7/2022,5/9/2022,22/10/2022,,,,
NIW_13,2022,Niwot Ridge,Elise Gallois,,3/6/2022,6/6/2022,8/6/2022,23/10/2022,24/10/2022,NA,11/6/2022,22/6/2022,14/7/2022,14/8/2022,13/9/2022,15/10/2022,,,,
BRA_BC,2022,Mt Brew,Elise Gallois,,4/7/2022,25/7/2022,29/7/2022,NA,NA,NA,19/7/2022,5/8/2022,25/8/2022,2/9/2022,17/9/2022,NA,,,,
TRI_BC,2022,Mt Brew,Elise Gallois,slightly switches viewshed on 31st july ,2/7/2022,25/7/2022,30/7/2022,NA,NA,NA,21/7/2022,28/7/2022,8/8/2022,10/8/2022,16/9/2022,NA,,,,
QHI_1,2023,QHI,Elise Gallois,,30/5/2023,NA,10/6/2023,NA,NA,NA,21/6/2023,25/6/2023,4/7/2023,27/7/2023,9/8/2023,NA,Arctica,NA,27/07/2023,NA
QHI_2,2023,QHI,Elise Gallois,,12/5/2023,20/5/2023,10/6/2023,NA,NA,NA,11/6/2023,20/6/2023,3/7/2023,26/7/2023,14/8/2023,NA,Arctica,11/06/2023,28/07/2023,NA
QHI_3,2023,QHI,Elise Gallois,tipped over for most of july,21/5/2023,31/5/2023,10/6/2023,NA,NA,NA,10/6/2023,25/6/2023,6/7/2023,NA,3/8/2023,NA,Pulchra,17/06/2023,NA,12/08/2023
QHI_4,2023,QHI,Elise Gallois,tipped over at the start ,NA,NA,09/10/2023,NA,NA,NA,NA,23/6/2023,6/7/2023,26/7/2023,13/8/2023,NA,Richardsonii,NA,26/07/2023,NA
QHI_5,2023,QHI,Elise Gallois,,NA,NA,10/6/2023,NA,NA,NA,12/6/2023,24/6/2023,5/7/2023,30/7/2023,14/8/2023,NA,Arctica,NA,30/07/2023, NA
QHI_6,2023,QHI,Elise Gallois,,NA,NA,10/6/2023,NA,NA,NA,NA,27/6/2023,12/7/2023,26/7/2023,14/8/2023,NA,Pulchra,NA,24/07/2023,14/08/2023
QHI_7,2023,QHI,Elise Gallois,"tipped over until end of may, and tipped again early aug",NA,NA,10/6/2023,NA,NA,NA,NA,NA,45106,45123,NA,NA,Richardsonii,NA,29/07/2023,NA
