Plot,Shrub,Year,Observer,Notes,Plants_first_visible_through_snow,Snow_Free_Melt_Date,First_snow_free_day,First_snow_return_day_end_of_season,snow_coverge_end_of_season_50,snow_coverage_end_of_season_100,First_leaf_bud_burst,First_yellowing_leaves,Last_leaf_starts_turning_yellow
CG3-2021,K15PSa12,2022,JS,"Plant not complete in the focus, not possible to identify",07/04/2022,24/04/2022,25/04/2022,26/09/2022,26/09/2022,26/09/2022,19/05/2022,29/07/2022,14/08/2022
CG4-2021,H15Sp15,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,01/07/2021,15/07/2021
CG4-2021,H15Sp15,2022,JS,,19/04/2022,22/04/2022,25/04/2022,26/09/2022,NA,13/10/2022,09/05/2022,24/06/2022,29/06/2022
CG4-2021,H15Sp15,2023,MA,,30/04/2023,02/05/2023,03/05/2023,NA,NA,NA,NA,NA,NA
CG5-2021,KP16SR57,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,16/08/2021,13/09/2021
CG5-2021,PP17SR16,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,16/08/2021,12/09/2021
CG5-2021,KP16SR57,2022,JS,,08/04/2022,23/04/2022,25/04/2022,26/09/2022,12/10/2022,13/10/2022,19/05/2022,09/08/2022,15/09/2021
CG5-2021,PP17SR16,2022,JS,,08/04/2022,23/04/2022,25/04/2022,26/09/2022,12/10/2022,13/10/2022,20/05/2022,03/08/2021,17/09/2021
CG5-2021,KP16SR57,2023,MA,,10/03/2023,02/05/2023,03/05/2023,NA,NA,NA,19/05/2023,08/08/2023,NA
CG5-2021,PP17SR16,2023,MA,,18/03/2023,02/05/2023,03/05/2023,NA,NA,NA,21/05/2023,03/08/2023,NA
KLUANECAM2,KLSRE9,2021,JS,,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,18/05/2021,20/07/2021,02/09/2021
KLUANECAM2,KLSRE7,2021,JS,,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,11/05/2021,NA,03/09/2021
KLUANECAM2,KLSRE6,2021,JS,,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,09/05/2021,NA,01/09/2021
KLUANECAM2,HeSR7,2021,JS,,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,NA,NA,NA
KLUANECAM2,H15SR20,2021,JS,,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,NA,NA,NA
KLUANECAM2,H15SR19,2021,JS,,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,19/05/2021,12/07/2021,23/07/2021
KLUANECAM2,HESR8,2021,JS,,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,NA,05/07/2021,16/07/2021
KLUANECAM2,KLSRE9,2022,JS,Snow obs - visible only tall shrubs,24/03/2022,23/04/2022,24/04/2022,26/09/2022,26/09/2022,26/09/2022,17/05/2022,13/08/2022,09/09/2022
KLUANECAM2,KLSRE7,2022,JS,,24/03/2022,23/04/2022,24/04/2022,26/09/2022,26/09/2022,26/09/2022,18/05/2022,NA,NA
KLUANECAM2,KLSRE6,2022,JS,,24/03/2022,23/04/2022,24/04/2022,26/09/2022,26/09/2022,26/09/2022,11/05/2022,NA,07/09/2022
KLUANECAM2,HeSR7,2022,JS,,24/03/2022,23/04/2022,24/04/2022,26/09/2022,26/09/2022,26/09/2022,19/05/2022,24/07/2022,09/08/2022
KLUANECAM2,H15SR20,2022,JS,,24/03/2022,23/04/2022,24/04/2022,26/09/2022,26/09/2022,26/09/2022,19/05/2022,06/07/2022,20/07/2022
KLUANECAM2,H15SR19,2022,JS,,24/03/2022,23/04/2022,24/04/2022,26/09/2022,26/09/2022,26/09/2022,22/05/2022,18/05/2022,12/08/2022
KLUANECAM2,HESR8,2022,JS,,24/03/2022,23/04/2022,24/04/2022,26/09/2022,26/09/2022,26/09/2022,20/05/2022,16/07/2022,30/07/2022
KLUANECAM2,KLSRE9,2023,JS,,29/04/2023,30/04/2023,02/05/2023,NA,NA,NA,21/05/2023,05/08/2023,NA
KLUANECAM2,KLSRE7,2023,JS,,29/04/2023,30/04/2023,02/05/2023,NA,NA,NA,NA,NA,NA
KLUANECAM2,KLSRE6,2023,JS,,29/04/2023,30/04/2023,02/05/2023,NA,NA,NA,16/05/2023,14/08/2023,NA
KLUANECAM2,HeSR7,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,18/05/2023,16/07/2023,31/07/2023
KLUANECAM2,H15SR20,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,18/05/2023,NA,NA
KLUANECAM2,H15SR19,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,17/05/2023,23/07/2023,06/08/2023
KLUANECAM2,HESR8,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,19/05/2023,20/06/2023,17/07/2023
KLUANECAM10,HER_SP_12,2021,JS,,,23/04/2021,24/04/2021,27/09/2021,NA,12/10/2021,08/05/2021,24/06/2021,16/05/2021
KLUANECAM10,KLSpE12,2021,JS,,,23/04/2021,24/04/2021,27/09/2021,NA,12/10/2021,NA,NA,NA
KLUANECAM10,KLSpE11,2021,JS,,,24/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,20/05/2021,12/08/2021,10/09/2021
KLUANECAM10,KLSpE14,2021,JS,,,25/04/2021,26/04/2021,27/09/2021,NA,12/10/2021,19/05/2021,10/08/2021,29/08/2021
KLUANECAM10,HER_SP_11,2021,JS,,,26/04/2022,27/04/2022,27/09/2021,NA,12/10/2021,NA,NA,18/07/2021
KLUANECAM10,HER_SP_12,2022,JS,,06/04/2022,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,18/05/2022,NA,04/08/2022
KLUANECAM10,KLSpE12,2022,JS,,06/04/2022,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,27/05/2022,28/08/2022,14/09/2022
KLUANECAM10,KLSpE11,2022,JS,,06/04/2022,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,25/05/2022,NA,NA
KLUANECAM10,KLSpE14,2022,JS,,06/04/2022,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,23/05/2022,24/08/2022,06/09/2022
KLUANECAM10,HER_SP_11,2022,JS,,06/04/2022,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,20/05/2022,NA,05/08/2022
KLUANECAM10,HESp17,2022,JS,,06/04/2022,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,03/08/2022,08/08/2022
KLUANECAM10,HER_SP_12,2023,MA,,30/04/2023,02/05/2023,03/05/2023,NA,NA,NA,19/05/2023,12/07/2023,08/08/2023
KLUANECAM10,KLSpE14,2023,MA,,14/04/2023,02/05/2023,03/05/2023,NA,NA,NA,17/05/2023,18/07/2023,23/08/2023
KLUANECAM10,KLSpE12,2023,MA,,24/04/2023,02/05/2023,03/05/2023,NA,NA,NA,21/05/2023,14/08/2023,NA
KLUANECAM10,KLSpE11,2023,MA,,24/04/2023,02/05/2023,03/05/2023,NA,NA,NA,20/05/2023,15/08/2023,NA
KLUANECAM10,HESp17,2023,MA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,KP16Sr37,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,10/07/2021,15/09/2021
CG6-2021,PC17sr4,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,22/08/2021,16/09/2021
CG6-2021,"PC17sr5
",2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,30/08/2021,21/09/2021
CG6-2021,KP16SR52,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,14/07/2021,06/09/2021
CG6-2021,"KP16SR53
",2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,22/08/2021,31/08/2021
CG6-2021,"PC17Sr6
",2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,30/08/2021,10/08/2021
CG6-2021,"H17Sr15
",2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,01/07/2021,30/07/2021
CG6-2021,H18SR10,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,28/06/2021,22/07/2021
CG6-2021,KP16Sr37,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,PC17sr4,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,"PC17sr5
",2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,KP16SR52,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,"KP16SR53
",2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,"PC17Sr6
",2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,"H17Sr15
",2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,H18SR10,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,KP16Sr37,2023,JS,Camera pointing to sky,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,PC17sr4,2023,JS,Camera pointing to sky,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,"PC17sr5
",2023,JS,Camera pointing to sky,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,KP16SR52,2023,JS,Camera pointing to sky,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,"KP16SR53
",2023,JS,Camera pointing to sky,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,"PC17Sr6
",2023,JS,Camera pointing to sky,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,"H17Sr15
",2023,JS,Camera pointing to sky,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG6-2021,H18SR10,2023,JS,Camera pointing to sky,NA,NA,NA,NA,NA,NA,NA,NA,NA
KLUANECAM3,KLSRC13,2021,JS,,,23/04/2021,26/04/2021,27/09/2021,NA,12/10/2021,22/05/2021,05/08/2021,08/09/2021
KLUANECAM3,KLSRE15,2021,JS,,,24/04/2021,27/04/2021,27/09/2021,NA,12/10/2021,20/05/2021,07/08/2021,10/09/2021
KLUANECAM3,KLSRE14,2021,JS,,,25/04/2021,28/04/2021,27/09/2021,NA,12/10/2021,21/05/2021,06/08/2021,31/08/2021
KLUANECAM3,KLSRE13,2021,JS,,,26/04/2021,29/04/2021,27/09/2021,NA,12/10/2021,20/05/2021,08/08/2021,05/09/2021
KLUANECAM3,KLSRC10,2021,JS,,,27/04/2021,30/04/2021,27/09/2021,NA,12/10/2021,22/05/2021,07/08/2021,07/09/2021
KLUANECAM3,H15Sp27,2021,JS,,,28/04/2021,01/05/2021,27/09/2021,NA,12/10/2021,19/05/2021,12/08/2021,21/08/2021
KLUANECAM3,PC16CESP7,2021,JS,,,29/04/2021,02/05/2021,27/09/2021,NA,12/10/2021,15/05/2021,29/07/2021,31/08/2021
KLUANECAM3,H17Sp10,2021,JS,,,30/04/2021,03/05/2021,27/09/2021,NA,12/10/2021,19/05/2021,23/06/2021,21/07/2021
KLUANECAM3,HER-SP 29,2021,JS,,,01/05/2021,04/05/2021,27/09/2021,NA,12/10/2021,NA,03/08/2021,06/08/2021
KLUANECAM3,KP17SP9,2021,JS,,,02/05/2021,05/05/2021,27/09/2021,NA,12/10/2021,20/05/2021,NA,NA
KLUANECAM3,KP16Sp33,2021,JS,,,03/05/2021,06/05/2021,27/09/2021,NA,12/10/2021,23/05/2021,16/07/2021,16/08/2021
KLUANECAM3,H15Sp29,2021,JS,,,04/05/2021,07/05/2021,27/09/2021,NA,12/10/2021,19/05/2021,08/07/2021,16/07/2021
KLUANECAM3,KLSRC13,2022,JS,In 2022 - Camera knocked out until 19th of June 2022,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,17/08/2022,16/09/2022
KLUANECAM3,KLSRE15,2022,JS,,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,12/09/2022,17/09/2022
KLUANECAM3,KLSRE14,2022,JS,,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,15/08/2022,02/09/2022
KLUANECAM3,KLSRE13,2022,JS,,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,05/09/2022,13/09/2022
KLUANECAM3,KLSRC10,2022,JS,,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,NA
KLUANECAM3,H15Sp27,2022,JS,Too small to see,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,NA
KLUANECAM3,PC16CESP7,2022,JS,,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,NA
KLUANECAM3,H17Sp10,2022,JS,,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,15/07/2022,03/08/2022
KLUANECAM3,HER-SP 29,2022,JS,Too small to see,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,NA
KLUANECAM3,KP17SP9,2022,JS,,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,NA
KLUANECAM3,KP16Sp33,2022,JS,,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,16/08/2022,05/09/2022
KLUANECAM3,H15Sp29,2022,JS,Too small to see,10/04/2022,19/04/2022,20/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,17/07/2022,26/07/2022
KLUANECAM3,KLSRC13,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,23/05/2023,23/08/2023,NA
KLUANECAM3,KLSRE15,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,20/05/2023,22/08/2023,NA
KLUANECAM3,KLSRE14,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,23/05/2023,15/08/2023,NA
KLUANECAM3,KLSRE13,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,NA,NA,NA
KLUANECAM3,KLSRC10,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,NA,NA,NA
KLUANECAM3,H15Sp27,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,19/05/2023,28/07/2023,10/08/2023
KLUANECAM3,PC16CESP7,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,20/05/2023,29/07/2023,NA
KLUANECAM3,H17Sp10,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,23/05/2023,NA,NA
KLUANECAM3,HER-SP 29,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,18/05/2023,23/07/2023,10/08/2023
KLUANECAM3,KP17SP9,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,18/05/2023,18/07/2023,NA
KLUANECAM3,KP16Sp33,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,19/05/2023,25/07/2023,14/08/2023
KLUANECAM3,H15Sp29,2023,JS,,30/04/2023,01/05/2023,02/05/2023,NA,NA,NA,19/05/2023,02/07/2023,10/07/2023
KLUANECAM4,KP_Sr_5,2021,JS,2021 season began with pics on the 23/06,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,08/08/2021,07/09/2021
KLUANECAM4,KLSPE6,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,10/08/2021,09/09/2021
KLUANECAM4,KLSRE4,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,15/08/2021,14/09/2021
KLUANECAM4,HeSR2,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,06/08/2021,14/09/2021
KLUANECAM4,KP17SR2,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,07/08/2021,25/08/2021
KLUANECAM4,KP17SR3,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,10/08/2021,31/08/2021
KLUANECAM4,G,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,05/08/2021,NA
KLUANECAM4,KP_Sr_5,2022,JS,Camera did not work from 07/05-20/06,,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,03/09/2022
KLUANECAM4,KLSPE6,2022,JS,,,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,11/09/2022
KLUANECAM4,KLSRE4,2022,JS,,,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,09/09/2022
KLUANECAM4,KLSPE4,2022,MA,,,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,30/08/2022
KLUANECAM4,PC17SR10,2022,MA,,,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,05/09/2022
KLUANECAM4,HeSR2,2022,JS,,,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,06/08/2022,NA
KLUANECAM4,KP17SR2,2022,JS,,,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,08/08/2022,NA
KLUANECAM4,KP17SR3,2022,JS,,,23/04/2022,24/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,04/08/2022,NA
KLUANECAM4,KP_Sr_5,2023,MA,"stopped taking photos November 2022, changed batteries summer 2023",NA,NA,NA,NA,NA,NA,NA,24/08/2023,NA
KLUANECAM4,KLSPE6,2023,MA,,NA,NA,NA,NA,NA,NA,NA,05/08/2023,NA
KLUANECAM4,KLSPE4,2023,MA,,NA,NA,NA,NA,NA,NA,NA,16/07/2023,12/08/2023
KLUANECAM4,PC17SR10,2023,MA,,NA,NA,NA,NA,NA,NA,NA,10/08/2023,23/08/2023
KLUANECAM4,KLSRE4,2023,MA,,NA,NA,NA,NA,NA,NA,NA,14/08/2023,NA
KLUANECAM4,HeSR2,2023,MA,,NA,NA,NA,NA,NA,NA,NA,08/05/2023,NA
KLUANECAM4,KP17SR2,2023,MA,no longer visible,NA,NA,NA,NA,NA,NA,NA,NA,NA
KLUANECAM4,KP17SR3,2023,MA,,NA,NA,NA,NA,NA,NA,NA,,
KLUANECAM5,G,2022,JS,,,23/04/2022,23/04/2022,NA,NA,NA,NA,NA,NA
TREENOCAM,NA,2021,JS,,,22/04/2021,26/04/2021,10/03/2021,NA,16/11/2021,NA,NA,NA
TREENOCAM,NA,2022,JS,,,23/04/2022,25/04/2022,26/09/2022,12/10/2022,13/10/2022,NA,NA,NA
TREENOCAM,NA,2023,MA,,,01/05/2023,03/05/2023,NA,NA,NA,NA,NA,NA
