Sample_ID,Match,Species,Latitude,Longitude,elevation,Sample_location,Date_sampled,Date_propagated,Date_planted,Year_planted,Mother_height,Mother_CW_1,Mother_CW_2,Mother_LS,Mother_LL1,Mother_LL2,Mother_LL3,Mother_SE1,Mother_SE2,Mother_SE3,Mother_Sex,Cutting_length,Cutting_diameter,Cutting_age,Survived_2014,Survived_2015,Survived_2016,Survived_2017,Survived_2018,Survived_2019,Survived_2020,Bed,Row,Column,Notes
H18SA5,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,6.9,,,,68,64,64,103,56,81,Male,59.7,7.21,8,NA,NA,NA,NA,NA,,0,,,,
H18SA6,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,10.6,,,,68,46,61,42,25,43,Female,29.8,8.71,7,NA,NA,NA,NA,NA,,0,,,,
H18SA7,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,6.4,,,,60,62,55,103,57,31,Female,33.2,7.34,9,NA,NA,NA,NA,NA,,0,,,,
H18SA8,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,9,,,,71,68,54,38,128,58,Male,36.4,9.36,9,NA,NA,NA,NA,NA,1,1,,,,
H18SA9,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,9.3,,,,60,64,69,68,74,76,Male,50.4,8.81,10,NA,NA,NA,NA,NA,,0,,,,
H18SA10,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,8.2,,,,62,65,51,126,58,70,Male,29.1,7.29,10,NA,NA,NA,NA,NA,,0,,,,
H18SA11,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,7.2,,,,58,50,55,119,36,60,Female,39.4,7.34,5,NA,NA,NA,NA,NA,0,0,,,,
H18SA12,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,5,,,,48,47,48,43,36,22,Female,19.1,6.57,5,NA,NA,NA,NA,NA,0,0,,,,
H18SA13,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,3.2,,,,62,51,55,113,93,54,Male,52.3,7.47,8,NA,NA,NA,NA,NA,1,0,,,,
H18SA14,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,8.2,,,,52,66,51,49,47,54,Female,37.1,6.91,6,NA,NA,NA,NA,NA,0,0,,,,
H18SA15,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,6.1,,,,56,61,66,11,36,29,Male,32.9,5.34,6,NA,NA,NA,NA,NA,0,0,,,,
H18SA16,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,7.2,,,,61,45,59,48,11,41,Male,24.9,6.68,8,NA,NA,NA,NA,NA,0,0,,,,
H18SA17,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,8.2,,,,55,54,45,76,68,80,Female,36.1,13,14,NA,NA,NA,NA,NA,0,0,,,,
H18SA18,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,5.2,,,,51,52,51,23,76,72,Female,23.3,8.53,9,NA,NA,NA,NA,NA,0,0,,,,
H18SA19,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,5.6,,,,64,51,56,78,76,48,Female,46.7,10.22,12,NA,NA,NA,NA,NA,0,0,,,,Red spot viral disease
H18SA20,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,5.4,,,,61,55,47,94,56,62,Male,44.8,7.87,7,NA,NA,NA,NA,NA,0,0,,,,
KP18SP1,NA,Salix pulchra,,,,Kluane Plateau,2018-08-21,NA,2018-08-23,2018,54.5,,,,46,34,37,14,19,20,Unknown,41,14.31,24,NA,NA,NA,NA,NA,1,1,,,,
KP18SP2,NA,Salix pulchra,,,,Kluane Plateau,2018-08-21,NA,2018-08-23,2018,45.4,,,,39,38,39,25,19,69,Female,44.5,13.66,17,NA,NA,NA,NA,NA,1,1,,,,
KP18SP3,NA,Salix pulchra,,,,Kluane Plateau,2018-08-21,NA,2018-08-23,2018,71.3,,,,61,61,84,192,33,97,Female,58.6,13.42,12,NA,NA,NA,NA,NA,1,1,,,,
KP18SP4,NA,Salix pulchra,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,133,,,,49,53,54,99,131,114,Unknown,62.3,7.67,8,NA,NA,NA,NA,NA,1,1,,,,
KP18SP5,NA,Salix pulchra,,,,Kluane Plateau,2018-08-21,NA,2018-08-23,2018,78,,,,48,38,46,81,58,22,Female,66.9,11.55,11,NA,NA,NA,NA,NA,,0,,,,Individual girdled
KP18SP6,NA,Salix pulchra,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,103,,,,32,53,40,25,36,38,Female,57.7,16.31,17,NA,NA,NA,NA,NA,,0,,,,
KP18SA1,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,8.2,,,,43,44,51,21,25,39,Male,33.1,9.33,16,NA,NA,NA,NA,NA,1,0,,,,
KP18SA2,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,8.8,,,,42,51,42,43,22,28,Female,55.4,7.32,12,NA,NA,NA,NA,NA,1,1,,,,
KP18SA3,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,13.5,,,,38,49,36,4,5,35,Female,34.3,9.99,14,NA,NA,NA,NA,NA,1,0,,,,
KP18SA4,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,6.8,,,,42,47,38,30,27,21,Male,31.5,6.11,9,NA,NA,NA,NA,NA,1,0,,,,
KP18SA5,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,5.1,,,,44,44,50,15,4,7,Female,18.4,7.4,9,NA,NA,NA,NA,NA,,0,,,,
KP18SA6,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,8.4,,,,50,50,61,15,12,12,Male,31.9,8.64,14,NA,NA,NA,NA,NA,,0,,,,
KP18SA7,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,6.6,,,,49,42,49,47,13,17,Female,19.9,9.74,10,NA,NA,NA,NA,NA,,0,,,,
KP18SA8,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,6.2,,,,56,46,51,12,6,16,Unknown,24.8,11.08,11,NA,NA,NA,NA,NA,1,1,,,,
KP18SA9,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,6.2,,,,48,51,37,18,26,23,Unknown,30.4,4.81,6,NA,NA,NA,NA,NA,1,1,,,,
KP18SA10,NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,9.9,,,,68,51,57,32,31,22,Male,18.8,6.52,9,NA,NA,NA,NA,NA,1,1,,,,
"NO LABEL, IN BED JA TOP RIGHT CORNER AS YOU'RE FACING THE LAKE",NA,Salix arctica,,,,Kluane Plateau,2018-08-22,NA,2018-08-23,2018,9.9,,,,68,51,57,32,31,22,Male,27.3,4.32,5,NA,NA,NA,NA,,,,,,,
KP17SP1,#N/A,Salix pulchra,60.96130399,-138.411761,1718.839722,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,84,113,123,33,59,62,61,51,97,86,Male,37.8,9.9,NA,NA,NA,NA,NA,1,1,1,1,3,7,
KP17SP2,#N/A,Salix pulchra,60.96129301,-138.411952,1720.711792,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,62,93,84,25,50,48,60,72,41,30,Female,25.4,11.24,NA,NA,NA,NA,NA,1,1,1,1,2,5,
KP17SP3,#N/A,Salix pulchra,60.96130399,-138.411424,1719.644775,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,49,55,42,12,53,59,55,59,59,45,Unknown,38.9,10.15,NA,NA,NA,NA,NA,1,0,0,1,2,6,
KP17SP4,#N/A,Salix pulchra,60.96256002,-138.414494,1715.187744,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,54,184,202,15,56,61,55,48,22,45,Female,42.7,15.18,NA,NA,NA,NA,NA,1,0,0,1,2,7,
KP17SP5,#N/A,Salix pulchra,60.96264602,-138.414485,1713.839355,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,68,115,84,20,56,56,56,90,58,102,Unknown,32.7,10.6,NA,NA,NA,NA,NA,1,1,1,9,4,5,
KP17SR1,#N/A,Salix richardsonii,60.96205601,-138.412878,1716.186401,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,108,233,182,55,61,55,55,68,52,66,Female,36.3,22.49,NA,NA,NA,NA,NA,1,1,1,5,6,2,
KP17SR2,#N/A,Salix richardsonii,60.96197697,-138.413103,1716.915405,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,60,94,77,18,41,45,46,31,60,53,Unknown,38.6,12.2,NA,NA,NA,NA,NA,1,1,1,5,6,3,
KP17SR3,#N/A,Salix richardsonii,60.96208996,-138.413233,1715.10144,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,44,113,115,21,52,44,44,51,62,89,Female,34.1,13.24,NA,NA,NA,NA,NA,1,1,1,5,6,4,
KP17SR4,#N/A,Salix richardsonii,60.96253596,-138.414108,1712.396362,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,38,72,65,21,46,48,47,99,63,66,Unknown,33.7,14.83,NA,NA,NA,NA,NA,1,1,1,5,6,5,
KP17SR5,#N/A,Salix richardsonii,60.96247201,-138.413775,1711.656494,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,106,182,154,45,45,47,51,57,71,82,Female,39.7,12.87,NA,NA,NA,NA,NA,0,0,0,5,6,6,
KP17SA1,#N/A,Salix arctica,60.95571804,-138.411813,1836.780762,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,4.8,16,16,4,NA,NA,NA,NA,NA,NA,Unknown,19,7.67,NA,NA,NA,NA,NA,1,1,1,10,5,7,
KP17SA2,#N/A,Salix arctica,60.95573002,-138.411849,1835.85498,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,5,35,41,3,NA,NA,NA,NA,NA,NA,Unknown,17.6,6.85,NA,NA,NA,NA,NA,1,1,1,10,4,7,
KP17SA3,#N/A,Salix arctica,60.95574796,-138.41182,1835.631348,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,3,28,19,10,NA,NA,NA,NA,NA,NA,Unknown,12.1,7.66,NA,NA,NA,NA,NA,NA,NA,,10,3,7,
KP17SA4,#N/A,Salix arctica,60.95567898,-138.411797,1837.203735,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,5,57,42,11,NA,NA,NA,NA,NA,NA,Unknown,14.9,8.47,NA,NA,NA,NA,NA,1,1,1,10,2,7,
KP17SA5,#N/A,Salix arctica,60.95564201,-138.411794,1839.307983,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,5,29,25,8,NA,NA,NA,NA,NA,NA,Unknown,16.4,12,NA,NA,NA,NA,NA,NA,NA,,10,1,7,
KP17SA6,#N/A,Salix arctica,60.955712,-138.411865,1837.724976,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,10,23,11,10,NA,NA,NA,NA,NA,NA,Female,9.7,16.45,NA,NA,NA,NA,NA,1,1,1,15,4,6,
KP17SA7,#N/A,Salix arctica,60.95565501,-138.411671,1841.633789,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,4,45,32,45,NA,NA,NA,NA,NA,NA,Unknown,14.8,7.71,NA,NA,NA,NA,NA,1,,0,15,2,6,
KP17SA8,#N/A,Salix arctica,60.955654,-138.41163,1841.273071,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,6,61,27,9,NA,NA,NA,NA,NA,NA,Unknown,17.4,6.42,NA,NA,NA,NA,NA,1,0,0,12,3,2,
KP17SA9,#N/A,Salix arctica,60.95563598,-138.411547,1841.544922,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,4,45,43,8,NA,NA,NA,NA,NA,NA,Unknown,13,9.07,NA,NA,NA,NA,NA,1,1,,12,5,3,
KP17SA10,#N/A,Salix arctica,60.95568996,-138.411556,1840.692627,Kluane Plateau,2009-08-17,NA,2010-08-17,2017,5,44,47,10,NA,NA,NA,NA,NA,NA,Unknown,12.7,9.9,NA,NA,NA,NA,NA,1,1,,12,2,6,
PC17SR1,#N/A,Salix richardsonii,61.212573,-138.278058,1649.624268,Pika Camp,2013-08-17,NA,2016-08-17,2017,38.8,47,24,20.3,49,40,41,75,70,60,Unknown,32.4,12.2,NA,NA,NA,NA,NA,1,1,1,5,4,3,
PC17SR2,#N/A,Salix richardsonii,61.21082998,-138.277277,1659.38208,Pika Camp,2013-08-17,NA,2016-08-17,2017,66,71,48,25.9,44,44,39,42,55,40,Unknown,31.2,11.5,NA,NA,NA,NA,NA,1,1,1,5,4,4,
PC17SR3,#N/A,Salix richardsonii,61.21036302,-138.278332,1655.007568,Pika Camp,2013-08-17,NA,2016-08-17,2017,55,68,69,10.7,45,44,51,45,38,61,Male,38.2,8.4,NA,NA,NA,NA,NA,1,0,0,5,4,5,
PC17SR4,#N/A,Salix richardsonii,61.21036302,-138.278332,1655.007568,Pika Camp,2013-08-17,NA,2016-08-17,2017,31,45,36,9.4,42,38,41,48,32,33,Unknown,35.5,11.1,NA,NA,NA,NA,NA,1,1,1,13,5,6,
