Name,Species,Origin,PlantYear,H,L1,L2,L3,L_mean,S1,S2,S3,S_mean
H15Sr13,R,H,2015,4.5,10,11,10,8.875,,,,8.875
H15Sr14,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr15,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr16,R,H,2015,8.6,19,18,15,15.15,,,,15.15
K15PSp1,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp2,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp3,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp4,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp5,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sp1,P,H,2015,21.6,21,25,16,20.9,3,,,11.95
HeRSp24,P,H,2014,21.4,30,31,31,28.35,49,57,150,71.0875
H15Sp2,P,H,2015,3.3,22,21,20,16.575,22,18,7,15.89375
H15Sp3,P,H,2015,3.1,16,19,19,14.275,3,,,8.6375
H15Sp4,P,H,2015,13.2,15,15,14,14.3,,,,14.3
H15Sp5,P,H,2015,5.5,24,24,22,18.875,8,6,,10.95833333
H15Sp6,P,H,2015,15.6,26,21,19,20.4,6,,,13.2
HeSp4,P,H,2013,17.7,46,41,41,36.425,102,92,56,71.60625
KLSpE1,P,K,2013,37.5,61,65,68,57.875,110,141,111,104.96875
KLSpE2,P,K,2013,22.3,61,60,58,50.325,451,512,525,384.58125
KLSpE3,P,K,2013,3.4,20,22,29,18.6,5,8,,10.53333333
KLSpE4,P,K,2013,48.2,73,75,85,70.3,420,564,579,408.325
KLSpE5,P,K,2013,25.5,25,29,31,27.625,98,27,30,45.65625
H15Sr11,R,H,2015,1.7,15,,,8.35,,,,8.35
HeSp2,P,H,2013,11.6,39,34,34,29.65,24,23,19,23.9125
HeFSr4,R,H,2014,6.4,39,43,38,31.6,51,55,54,47.9
H15Sr10,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr9,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr8,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr4,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSp1,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSp2,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr3,R,H,2015,1.6,17,16,15,12.4,,,,12.4
K15CSr1,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSpC1,P,K,2013,28.9,49,50,52,44.975,95,76,75,72.74375
KLSpC2,P,K,2013,23.1,46,47,45,40.275,43,35,32,37.56875
KLSpC3,P,K,2013,23.8,40,32,38,33.45,41,38,39,37.8625
KLSrC2,R,K,2013,53.5,60,63,65,60.375,436,408,396,325.09375
K15CSr2,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSr3,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSr4,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15SSr4,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sp7,P,H,2015,4.2,6,8,5,5.8,,,,5.8
H15Sp8,P,H,2015,25.5,30,29,25,27.375,3,4,,11.45833333
HeRSp3,P,H,2014,42.1,28,31,26,31.775,38,120,161,87.69375
HeRSp4,P,H,2014,6,25,22,24,19.25,31,22,27,24.8125
HeRSp5,P,H,2014,2.6,15,16,11,11.15,25,,,18.075
KLSrE4,R,K,2013,55,62,68,64,62.25,358,451,536,351.8125
K15SSr1,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15SSr2,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15SSr3,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
HeFSr4B,R,H,2014,4,23,21,22,17.5,13,9,25,16.125
H15Sr1,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr2,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr6,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr7,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr1,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr2,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr3,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr4,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr5,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr5,R,H,2015,12.5,15,11,13,12.875,10,,,11.4375
HeSr2,R,H,2013,4.2,25,26,29,21.05,20,26,11,19.5125
HeSr3,R,H,2013,5,26,27,29,21.75,22,17,16,19.1875
H15Sp26,P,H,2015,11.3,19,15,14,14.825,,,,14.825
K15CSp8,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sp30,P,H,2015,13.4,22,20,,18.46666667,,,,18.46666667
K15CSp9,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sp29,P,H,2015,23.9,22,20,19,21.225,15,,,18.1125
H15Sp25,P,H,2015,3.8,19,22,20,16.2,21,,,18.6
H15Sp27,P,H,2015,9.5,30,28,16,20.875,15,14,15,16.21875
HeSp23,P,H,2013,20.5,12,12,13,14.375,49,41,21,31.34375
HeRSp26,P,H,2014,20,19,17,15,17.75,20,4,,13.91666667
H15Sp28,P,H,2015,,,,,#DIV/0!,,,,#DIV/0!
K15Ssr10,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSr9,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSr8,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr15,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSrC11,R,K,2013,26.2,48,41,45,40.05,50,55,60,51.2625
K15PSr14,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSrC13,R,K,2013,45,67,63,65,60,395,455,225,283.75
K15PSr13,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
HeSr26,R,H,2013,14,36,25,25,25,24,17,17,20.75
HeSr27,R,H,2013,10.1,19,21,25,18.775,21,9,13,15.44375
H15Sr28,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sp29,P,H,2015,4.2,30,16,19,17.3,22,2,,13.76666667
H15Sr30,R,H,2015,6.1,20,25,24,18.775,6,,,12.3875
HeSr21,R,H,2013,23.5,26,31,27,26.875,29,27,18,25.21875
H15Sr25,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
HeSr23,R,H,2013,3.6,22,26,24,18.9,12,17,9,14.225
K15ESp8,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15ESp7,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15ESp6,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15ESp5,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp1,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp2,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp3,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp4,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSp5,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sp21,P,H,2015,,,,,#DIV/0!,,,,#DIV/0!
HeSp17,P,H,2013,14.4,25,24,24,21.85,14,15,27,19.4625
HeSp18,P,H,2013,7.7,32,34,35,27.175,46,33,32,34.54375
H15Sp22,P,H,2015,,,,,#DIV/0!,,,,#DIV/0!
HeSp20,P,H,2013,14.1,36,42,44,34.025,32,41,30,34.25625
KLSpE15,P,K,2013,17,49,52,56,43.5,80,100,7,57.625
KLSpE14,P,K,2013,39.8,73,89,82,70.95,225,270,355,230.2375
K15PSp11,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSpE2,P,K,2013,30.1,65,65,67,56.775,420,330,300,276.69375
KLSpC11,P,K,2013,32.3,81,75,66,63.575,235,275,145,179.64375
K15ESp10,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSpC8,P,K,2013,17.5,76,80,69,60.625,205,165,210,160.15625
KLSpC9,P,K,2013,40.5,50,42,48,45.125,355,485,390,318.78125
KLSpC10,P,K,2013,31.2,57,46,45,44.8,14,52,43,38.45
H15Sp24,P,H,2015,11,16,16,10,13.25,16,,,14.625
HeRSp14,P,H,2014,6,33,31,29,24.75,14,32,21,22.9375
H15Sp23,P,H,2015,15.5,23,18,18,18.625,21,3,10,13.15625
HeRSp12,P,H,2014,29.4,36,35,33,33.35,60,54,39,46.5875
HeRSp11,P,H,2014,28.8,52,50,41,42.95,26,52,40,40.2375
K15PSr6,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr7,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr8,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr9,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr10,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr24,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr23,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
H15Sr22,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
HeSr17,R,H,2013,2.5,23,21,18,16.125,17,14,,15.70833333
H15Sr21,R,H,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSrE11,R,K,2013,36.6,50,56,54,49.15,330,320,285,246.0375
KLSrC10,R,K,2013,51.8,67,62,67,61.95,480,370,425,334.2375
KLSrC6,R,K,2013,44.1,63,56,56,54.775,320,220,265,214.94375
KLSrC7,R,K,2013,57,52,60,62,57.75,230,360,330,244.4375
K15PSr12,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15PSr11,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSrE15,R,K,2013,60.1,61,66,59,61.525,460,360,430,327.88125
K15CSr7,R,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KLSrE13,R,K,2013,45.8,59,63,60,56.95,430,380,380,311.7375
KLSrE14,R,K,2013,25.2,61,63,58,51.8,175,185,130,135.45
K15CSp7,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSp6,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSp5,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSp4,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15CSp3,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15ESp4,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15ESp3,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15ESp2,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
K15ESp1,P,K,2015,,,,,#DIV/0!,,,,#DIV/0!
KPSr5,R,K,2014,16.6,44,40,45,36.4,85,125,85,82.85
KLSpE6,P,K,2013,24.1,76,68,80,62.025,356,450,504,343.00625
KLSpE7,P,K,2013,29.8,65,71,72,59.45,269,301,250,219.8625
KLSpE8,P,K,2013,44.2,95,74,77,72.55,453,514,337,344.1375
KLSpE9,P,K,2013,33.1,70,68,82,63.275,295,335,253,236.56875
KLSpE10,P,K,2013,24.6,43,46,41,38.65,111,108,94,87.9125
HeSp12,P,H,2013,13.1,28,36,27,26.025,33,33,35,31.75625
H15Sp17,P,H,2015,19.6,25,28,19,22.9,16,16,7,15.475
H15Sp18,P,H,2015,10.7,52,45,41,37.175,37,,,37.0875
H15Sp19,P,H,2015,5.6,31,31,32,24.9,47,,,35.95
H15Sp20,P,H,2015,4.4,30,32,28,23.6,29,,,26.3
H15Sp13,P,H,2015,15.5,39,40,40,33.625,51,53,13,37.65625
H15Sp14,P,H,2015,17.1,22,19,23,20.275,9,14,9,13.06875
H15Sp15,P,H,2015,22,31,28,32,28.25,43,29,7,26.8125
H15Sp16,P,H,2015,19.2,29,30,25,25.8,13,12,4,13.7
HeSp6,P,H,2013,16.2,39,33,35,30.8,42,30,38,35.2
