"","Species","SampleID","Latitude","Longitude","Elevation","SampleDate","Site","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","Stem_diameter_2","Stem_diameter_3","2022 Notes"
"89","Salix reticulata","KPSA09",60.9715,138.41106,1554,2022-08-13 00:00:00,"Kluane",8,NA,NA,6,19,4,30,29,27,7,5,6,NA
"90","Salix reticulata","KPSA10",60.97152,138.41103,1555,2022-08-13 00:00:00,"Kluane",6,NA,NA,25,12,16,41,43,39,7,5,3,NA
"91","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-07-16 01:00:00,"Kluane",195,285,168,47,23,44,74,54,57,122,NA,NA,NA
"92","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-07-16 01:00:00,"Kluane",152,118,98,132,111,124,77,70,55,43,NA,NA,NA
"93","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-07-16 01:00:00,"Kluane",155,125,220,66,104,160,50,48,46,41,NA,NA,NA
"94","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-07-16 01:00:00,"Kluane",174,179,130,86,106,85,58,62,45,46,NA,NA,NA
"95","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-07-16 01:00:00,"Kluane",176,286,255,102,76,107,58,53,65,48,NA,NA,NA
"96","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-07-16 01:00:00,"Kluane",177,153,190,95,70,77,63,47,63,52,NA,NA,NA
"97","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-07-16 01:00:00,"Kluane",83,99,123,33,105,104,55,62,55,20,NA,NA,NA
"98","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-07-16 01:00:00,"Kluane",123,167,175,50,28,57,51,40,43,34,NA,NA,NA
"99","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-07-16 01:00:00,"Kluane",157,203,145,55,124,141,68,62,67,56,NA,NA,NA
"100","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-07-16 01:00:00,"Kluane",66,96,107,34,35,19,49,60,48,16,NA,NA,NA
"101","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-07-16 01:00:00,"Kluane",143,154,109,46,54,86,44,55,48,52,NA,NA,NA
"102","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-07-16 01:00:00,"Kluane",125.5,110,164,51,82,75,38,61,49,40,NA,NA,NA
"103","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-07-16 01:00:00,"Kluane",145,200,154,75,60,46,53,45,53,65,NA,NA,NA
"104","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-07-16 01:00:00,"Kluane",140,139,144,108,160,155,43,41,38,57,NA,NA,NA
"105","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-07-16 01:00:00,"Kluane",155.2,171,184,80,137,170,55,50,48,46,NA,NA,NA
"106","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-07-16 01:00:00,"Kluane",132,236,242,120,138,160,51,56,38,67,NA,NA,NA
"107","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-07-16 01:00:00,"Kluane",159,163,173,141,124,75,43,53,55,46,NA,NA,NA
"108","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-07-16 01:00:00,"Kluane",171,245,221,80,45,100,45,48,58,46,NA,NA,NA
"109","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-07-16 01:00:00,"Kluane",84.5,81,73,37,47,31,42,44,37,24,NA,NA,NA
"110","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-07-16 01:00:00,"Kluane",113,210,147,94,136,95,52,56,53,33,NA,NA,NA
"111","Salix reticulata","KPSA01",60.96985,138.41273,1587,2022-07-16 01:00:00,"Kluane",6.1,NA,NA,16,34,27,45,27,35,2,3,5,NA
"112","Salix reticulata","KPSA02",60.96987,138.41272,1582,2022-07-16 01:00:00,"Kluane",8.5,NA,NA,32,33,36,52,37,45,4,3,5,NA
"113","Salix reticulata","KPSA03",60.96986,138.41269,1582,2022-07-16 01:00:00,"Kluane",6.5,NA,NA,24,36,24,35,22,25,5,4,2,NA
"114","Salix reticulata","KPSA04",60.96987,138.41261,1583,2022-07-16 01:00:00,"Kluane",6.7,NA,NA,35,23,35,35,36,27,3,4,4,NA
"115","Salix reticulata","KPSA05",60.96987,138.41257,1582,2022-07-16 01:00:00,"Kluane",6.1,NA,NA,40,28,36,31,21,39,6,5,4,NA
"116","Salix reticulata","KPSA06",60.97195,138.41203,1549,2022-07-16 01:00:00,"Kluane",8.5,NA,NA,25,30,40,31,49,45,3,4,3,NA
"117","Salix reticulata","KPSA07",60.97196,138.41203,1548,2022-07-16 01:00:00,"Kluane",5.6,NA,NA,28,20,25,29,38,42,3,3,2,NA
"118","Salix reticulata","KPSA08",60.97195,138.41206,1549,2022-07-16 01:00:00,"Kluane",4.5,NA,NA,20,10,28,26,31,34,4,3,4,NA
"119","Salix reticulata","KPSA09",60.9715,138.41106,1554,2022-07-16 01:00:00,"Kluane",8.5,NA,NA,35,18,24,38,28,25,4,3,2,NA
"120","Salix reticulata","KPSA10",60.97152,138.41103,1555,2022-07-16 01:00:00,"Kluane",8.5,NA,NA,12,17,22,44,39,25,3,3,4,NA
"121","Salix pulchra","KPSP01",60.9702,138.41289,1580,2022-07-24 01:00:00,"Kluane",204,315,210,105,150,135,59,74,81,210,NA,NA,NA
"122","Salix pulchra","KPSP02",60.9701,138.4128,1581,2022-07-24 01:00:00,"Kluane",159,111,112,165,150,120,53,47,75,51,NA,NA,NA
"123","Salix pulchra","KPSP03",60.97008,138.4127,1582,2022-07-24 01:00:00,"Kluane",150,220,198,180,140,160,51,49,61,42,NA,NA,NA
"124","Salix pulchra","KPSP04",60.97015,138.41316,1580,2022-07-24 01:00:00,"Kluane",183,220,180,170,165,180,61,70,71,41,NA,NA,NA
"125","Salix pulchra","KPSP05",60.96988,138.41269,1583,2022-07-24 01:00:00,"Kluane",175,262,282,110,140,130,60,42,56,49,NA,NA,NA
"126","Salix pulchra","KPSP06",60.97185,138.41124,1552,2022-07-24 01:00:00,"Kluane",181,160,218,120,95,110,66,59,55,44,NA,NA,NA
"127","Salix pulchra","KPSP07",60.97206,138.41098,1549,2022-07-24 01:00:00,"Kluane",83,125,105,135,160,60,58,71,56,25,NA,NA,NA
"128","Salix pulchra","KPSP08",60.97199,138.41196,1547,2022-07-24 01:00:00,"Kluane",132,184,193,240,200,100,52,49,45,35,NA,NA,NA
"129","Salix pulchra","KPSP09",60.972,138.41205,1548,2022-07-24 01:00:00,"Kluane",169,212,180,200,180,160,73,54,66,82,NA,NA,NA
"130","Salix pulchra","KPSP10",60.97153,138.41092,1553,2022-07-24 01:00:00,"Kluane",67,100,97,110,90,60,52,44,45,15,NA,NA,NA
"131","Salix richardsonii","KPSR01",60.97015,138.41283,1581,2022-07-24 01:00:00,"Kluane",147,160,120,115,120,80,53,52,49,56,NA,NA,NA
"132","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-07-24 01:00:00,"Kluane",128,171,118,95,145,125,50,48,53,40,NA,NA,NA
"133","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-07-24 01:00:00,"Kluane",151,173,178,130,165,100,47,41,49,60,NA,NA,NA
"134","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-07-24 01:00:00,"Kluane",141,135,141,120,130,115,47,48,50,50,NA,NA,NA
"135","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-07-24 01:00:00,"Kluane",154,191,196,150,200,195,50,45,54,41,NA,NA,NA
"136","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-07-24 01:00:00,"Kluane",149,236,249,47,63,130,49,55,48,170,NA,NA,NA
"137","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-07-24 01:00:00,"Kluane",171,161,142,260,290,345,55,61,60,40,NA,NA,NA
"138","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-07-24 01:00:00,"Kluane",172,236,240,140,129,73,61,52,40,58,NA,NA,NA
"139","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-07-24 01:00:00,"Kluane",84.5,64,72,49,25,24,36,42,39,25,NA,NA,NA
"140","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-07-24 01:00:00,"Kluane",118,191,152,55,140,140,65,63,66,35,NA,NA,NA
"141","Salix reticulata","KPSA01",60.96985,138.41273,1587,2022-07-24 01:00:00,"Kluane",6.1,NA,NA,24,11,10,35,32,22,5,3,6,NA
"142","Salix reticulata","KPSA02",60.96987,138.41272,1582,2022-07-24 01:00:00,"Kluane",7.2,NA,NA,32,29,19,38,34,39,4,2,4,NA
"143","Salix reticulata","KPSA03",60.96986,138.41269,1582,2022-07-24 01:00:00,"Kluane",5.9,NA,NA,14,18,12,22,30,23,6,3,4,NA
"144","Salix reticulata","KPSA04",60.96987,138.41261,1583,2022-07-24 01:00:00,"Kluane",8,NA,NA,20,15,10,43,33,35,4,6,3,NA
"145","Salix reticulata","KPSA05",60.96987,138.41257,1582,2022-07-24 01:00:00,"Kluane",4.6,NA,NA,12,18,20,35,31,25,3,5,4,NA
"146","Salix reticulata","KPSA06",60.97195,138.41203,1549,2022-07-24 01:00:00,"Kluane",9,NA,NA,16,12,11,46,35,31,6,2,5,NA
"147","Salix reticulata","KPSA07",60.97196,138.41203,1548,2022-07-24 01:00:00,"Kluane",7,NA,NA,14,12,7,38,31,26,4,3,3,NA
"148","Salix reticulata","KPSA08",60.97195,138.41206,1549,2022-07-24 01:00:00,"Kluane",5.9,NA,NA,18,13,9,25,32,19,4,4,6,NA
"149","Salix reticulata","KPSA09",60.9715,138.41106,1554,2022-07-24 01:00:00,"Kluane",6,NA,NA,15,10,25,32,37,32,3,7,5,NA
"150","Salix reticulata","KPSA10",60.97152,138.41103,1555,2022-07-24 01:00:00,"Kluane",5.9,NA,NA,20,15,11,41,27,40,4,5,2,NA
