"Plot Title: Common_Garden_Hobo_21419292"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21419292, SEN S/N: 21274749, LBL: Soil 10cm)","Temp, °C (LGR S/N: 21419292, SEN S/N: 21414490, LBL: Soil 2cm)","Temp, °C (LGR S/N: 21419292, SEN S/N: 21414494, LBL: Air 1m)","Temp, °C (LGR S/N: 21419292, SEN S/N: 21420853, LBL: Air 1m)","RH, % (LGR S/N: 21419292, SEN S/N: 21420853, LBL: Air 1m)"
107,08/22/22 05:00:01 PM,14.146,19.032,22.800,24.336,33.623
108,08/22/22 05:30:01 PM,14.314,19.103,24.532,25.043,30.190
109,08/22/22 06:00:01 PM,14.481,19.460,22.034,22.963,33.680
110,08/22/22 06:30:01 PM,14.649,18.961,23.689,24.271,33.918
111,08/22/22 07:00:01 PM,14.768,18.937,21.819,22.384,32.534
112,08/22/22 07:30:01 PM,14.888,17.582,19.722,19.789,42.144
113,08/22/22 08:00:01 PM,14.936,16.892,17.986,18.352,50.150
114,08/22/22 08:30:01 PM,14.912,16.129,16.963,17.065,53.132
115,08/22/22 09:00:01 PM,14.864,15.509,16.249,16.336,56.403
116,08/22/22 09:30:01 PM,14.768,14.912,15.270,15.349,56.794
117,08/22/22 10:00:01 PM,14.649,14.457,14.074,14.212,64.158
118,08/22/22 10:30:01 PM,14.529,14.074,14.409,14.512,63.375
119,08/22/22 11:00:01 PM,14.385,13.834,14.409,14.555,63.734
120,08/22/22 11:30:01 PM,14.242,13.570,14.026,14.062,64.887
121,08/23/22 12:00:01 AM,14.098,13.281,12.534,12.689,70.942
122,08/23/22 12:30:01 AM,13.978,12.775,13.954,13.998,64.150
123,08/23/22 01:00:01 AM,13.834,12.340,10.443,10.587,76.297
124,08/23/22 01:30:01 AM,13.690,11.953,11.151,11.209,77.069
125,08/23/22 02:00:01 AM,13.522,11.807,12.968,12.775,69.374
126,08/23/22 02:30:01 AM,13.377,12.025,13.185,13.247,66.571
127,08/23/22 03:00:01 AM,13.233,11.953,13.353,13.354,64.553
128,08/23/22 03:30:01 AM,13.112,11.807,12.147,12.239,70.164
129,08/23/22 04:00:01 AM,12.992,11.759,13.281,13.354,64.691
130,08/23/22 04:30:01 AM,12.896,11.613,12.703,12.754,68.511
131,08/23/22 05:00:01 AM,12.799,11.419,12.413,12.475,68.928
132,08/23/22 05:30:01 AM,12.703,11.175,12.654,12.539,67.176
133,08/23/22 06:00:01 AM,12.582,11.029,12.074,12.067,69.273
134,08/23/22 06:30:01 AM,12.461,10.932,12.050,12.025,70.930
135,08/23/22 07:00:01 AM,12.364,10.761,9.583,9.708,76.085
136,08/23/22 07:30:01 AM,12.268,10.638,11.977,11.810,72.862
137,08/23/22 08:00:01 AM,12.171,10.834,12.025,12.132,72.828
138,08/23/22 08:30:01 AM,12.074,11.078,12.122,12.389,72.970
139,08/23/22 09:00:01 AM,12.001,11.175,11.686,11.831,71.434
140,08/23/22 09:30:01 AM,11.953,11.832,13.281,13.826,67.042
141,08/23/22 10:00:01 AM,11.929,12.219,13.449,14.083,65.940
142,08/23/22 10:30:01 AM,11.929,12.775,15.986,17.108,57.237
143,08/23/22 11:00:01 AM,11.953,14.697,15.939,17.429,54.377
144,08/23/22 11:30:01 AM,12.050,15.557,19.936,22.062,41.132
145,08/23/22 12:00:01 PM,12.195,16.320,17.439,19.059,50.686
146,08/23/22 12:30:01 PM,12.413,16.749,18.723,19.531,48.525
147,08/23/22 01:00:01 PM,12.630,16.439,18.224,18.974,48.742
148,08/23/22 01:30:01 PM,12.871,16.987,17.986,19.853,48.878
149,08/23/22 02:00:01 PM,13.064,16.844,19.246,19.917,46.178
150,08/23/22 02:30:01 PM,13.281,20.055,25.331,27.253,31.160
151,08/23/22 03:00:01 PM,13.497,20.079,20.960,21.633,39.211
152,08/23/22 03:30:01 PM,13.834,18.509,22.034,22.319,43.984
153,08/23/22 04:00:01 PM,14.098,19.555,24.944,25.494,35.239
154,08/23/22 04:30:01 PM,14.337,20.746,19.912,20.904,43.432
155,08/23/22 05:00:01 PM,14.601,19.603,17.439,18.352,54.083
156,08/23/22 05:30:01 PM,14.840,19.532,18.937,20.561,48.132
157,08/23/22 06:00:01 PM,14.984,18.414,17.201,17.537,53.872
158,08/23/22 06:30:01 PM,15.079,17.368,17.962,18.459,52.096
159,08/23/22 07:00:01 PM,15.103,17.153,17.819,18.330,54.238
160,08/23/22 07:30:01 PM,15.079,16.582,16.749,16.915,54.504
161,08/23/22 08:00:01 PM,15.031,15.891,15.963,16.314,58.972
162,08/23/22 08:30:01 PM,14.960,15.270,15.485,15.671,59.962
163,08/23/22 09:00:01 PM,14.864,14.673,14.050,14.212,65.115
164,08/23/22 09:30:01 PM,14.721,14.026,14.026,14.083,64.544
165,08/23/22 10:00:01 PM,14.577,13.546,13.353,13.419,67.932
166,08/23/22 10:30:01 PM,14.433,13.161,13.137,13.226,68.260
167,08/23/22 11:00:01 PM,14.266,12.847,12.171,12.196,72.148
168,08/23/22 11:30:01 PM,14.098,12.558,11.443,11.510,74.748
169,08/24/22 12:00:01 AM,13.930,12.364,12.074,12.089,75.860
170,08/24/22 12:30:01 AM,13.762,12.340,12.122,12.196,74.302
171,08/24/22 01:00:01 AM,13.618,12.122,11.686,11.810,75.903
172,08/24/22 01:30:01 AM,13.497,11.807,9.805,9.966,81.946
173,08/24/22 02:00:01 AM,13.353,11.516,11.467,11.424,77.948
174,08/24/22 02:30:01 AM,13.209,11.419,11.394,11.360,77.363
175,08/24/22 03:00:01 AM,13.064,11.273,10.687,10.802,79.057
176,08/24/22 03:30:01 AM,12.944,11.078,10.222,10.223,80.813
177,08/24/22 04:00:01 AM,12.823,10.834,9.632,9.687,81.666
178,08/24/22 04:30:01 AM,12.678,10.980,10.565,10.738,77.700
179,08/24/22 05:00:01 AM,12.558,10.907,10.614,10.630,78.425
180,08/24/22 05:30:01 AM,12.461,10.834,10.394,10.480,79.506
181,08/24/22 06:00:01 AM,12.364,10.932,10.541,10.630,79.353
182,08/24/22 06:30:01 AM,12.268,10.956,10.663,10.759,79.408
183,08/24/22 07:00:01 AM,12.195,10.956,10.785,10.888,80.288
184,08/24/22 07:30:01 AM,12.122,10.980,10.810,10.888,80.375
185,08/24/22 08:00:01 AM,12.050,10.834,10.565,10.652,81.024
186,08/24/22 08:30:01 AM,12.001,11.029,12.050,12.239,75.531
187,08/24/22 09:00:01 AM,11.929,11.419,12.243,12.668,73.286
188,08/24/22 09:30:01 AM,11.904,11.734,12.944,13.440,71.276
189,08/24/22 10:00:01 AM,11.880,11.856,13.738,14.727,64.800
190,08/24/22 10:30:01 AM,11.904,12.871,17.772,19.167,48.896
191,08/24/22 11:00:01 AM,11.929,14.649,17.677,19.939,44.388
192,08/24/22 11:30:01 AM,12.025,15.438,18.200,20.539,42.850
193,08/24/22 12:00:01 PM,12.195,17.011,22.321,24.057,34.742
194,08/24/22 12:30:01 PM,12.413,16.939,18.628,19.188,44.347
195,08/24/22 01:00:01 PM,12.678,16.272,17.130,17.429,49.346
196,08/24/22 01:30:01 PM,12.920,16.129,17.510,17.966,46.664
197,08/24/22 02:00:01 PM,13.137,15.629,17.986,18.437,46.108
198,08/24/22 02:30:01 PM,13.281,15.175,17.249,17.515,47.573
199,08/24/22 03:00:01 PM,13.377,14.864,16.582,16.850,47.280
200,08/24/22 03:30:01 PM,13.425,15.031,17.772,17.987,46.302
201,08/24/22 04:00:01 PM,13.473,16.129,18.224,19.445,44.186
202,08/24/22 04:30:01 PM,13.522,16.106,18.485,19.274,41.454
203,08/24/22 05:00:01 PM,13.618,16.177,19.008,19.789,40.722
204,08/24/22 05:30:01 PM,13.690,16.630,17.986,19.059,44.753
205,08/24/22 06:00:01 PM,13.786,17.058,18.081,19.274,44.311
206,08/24/22 06:30:01 PM,13.906,17.320,18.176,19.295,44.860
207,08/24/22 07:00:01 PM,14.002,16.439,18.200,18.330,45.344
208,08/24/22 07:30:01 PM,14.098,15.891,15.915,16.336,50.077
209,08/24/22 08:00:01 PM,14.098,15.175,15.055,15.499,54.444
210,08/24/22 08:30:01 PM,14.098,14.409,14.314,14.577,56.742
211,08/24/22 09:00:01 PM,14.026,13.786,13.882,13.955,59.239
212,08/24/22 09:30:01 PM,13.930,13.377,12.920,13.075,65.147
213,08/24/22 10:00:01 PM,13.810,12.992,12.992,13.054,62.808
214,08/24/22 10:30:01 PM,13.666,12.703,12.896,12.968,62.506
215,08/24/22 11:00:01 PM,13.546,12.485,12.243,12.432,67.161
216,08/24/22 11:30:01 PM,13.401,12.243,11.783,11.917,70.466
217,08/25/22 12:00:01 AM,13.281,12.098,11.734,11.810,69.245
218,08/25/22 12:30:01 AM,13.161,11.953,11.540,11.596,71.049
219,08/25/22 01:00:01 AM,13.040,11.856,11.492,11.553,71.331
220,08/25/22 01:30:01 AM,12.920,11.710,11.200,11.360,74.229
221,08/25/22 02:00:01 AM,12.823,11.565,11.394,11.488,70.820
222,08/25/22 02:30:01 AM,12.727,11.443,10.467,10.652,77.675
223,08/25/22 03:00:01 AM,12.630,11.273,9.312,9.451,83.873
224,08/25/22 03:30:01 AM,12.534,11.224,9.460,9.537,84.379
225,08/25/22 04:00:01 AM,12.437,11.175,9.903,10.073,82.603
226,08/25/22 04:30:01 AM,12.364,10.883,8.519,8.657,88.524
227,08/25/22 05:00:01 AM,12.268,10.345,7.945,8.100,90.103
228,08/25/22 05:30:01 AM,12.171,9.952,6.889,7.091,90.140
229,08/25/22 06:00:01 AM,12.074,9.485,6.153,6.255,91.701
230,08/25/22 06:30:01 AM,11.929,9.015,4.714,4.775,94.350
231,08/25/22 07:00:01 AM,11.783,8.668,4.246,4.410,95.412
232,08/25/22 07:30:01 AM,11.637,8.519,4.792,4.947,94.157
233,08/25/22 08:00:01 AM,11.467,8.419,4.740,4.861,94.702
234,08/25/22 08:30:01 AM,11.321,8.419,5.514,5.612,93.915
235,08/25/22 09:00:01 AM,11.175,8.717,9.435,9.515,84.114
236,08/25/22 09:30:01 AM,11.053,10.492,15.581,15.778,58.885
237,08/25/22 10:00:01 AM,10.980,11.175,13.834,15.327,58.653
238,08/25/22 10:30:01 AM,11.005,12.920,16.296,18.116,53.730
239,08/25/22 11:00:01 AM,11.102,14.002,14.433,15.778,60.388
240,08/25/22 11:30:01 AM,11.273,13.690,14.218,15.027,65.945
241,08/25/22 12:00:01 PM,11.467,15.581,17.605,20.282,45.899
242,08/25/22 12:30:01 PM,11.686,16.582,18.105,19.746,53.503
243,08/25/22 01:00:01 PM,11.929,18.176,17.582,20.325,47.417
244,08/25/22 01:30:01 PM,12.243,19.841,17.249,20.196,48.278
245,08/25/22 02:00:01 PM,12.606,18.961,15.891,17.386,56.129
246,08/25/22 02:30:01 PM,12.992,18.723,15.772,17.944,53.529
247,08/25/22 03:00:01 PM,13.281,17.962,14.816,16.035,59.937
248,08/25/22 03:30:01 PM,13.522,17.034,15.390,16.400,57.655
249,08/25/22 04:00:01 PM,13.714,17.177,15.652,17.043,56.761
250,08/25/22 04:30:01 PM,13.834,18.224,17.748,19.681,42.799
251,08/25/22 05:00:01 PM,13.978,18.699,17.582,19.188,45.670
252,08/25/22 05:30:01 PM,14.146,18.842,16.487,18.008,50.468
253,08/25/22 06:00:01 PM,14.337,19.103,20.317,22.212,37.530
254,08/25/22 06:30:01 PM,14.505,19.413,20.317,21.569,43.742
255,08/25/22 07:00:01 PM,14.673,19.436,19.436,21.204,42.919
256,08/25/22 07:30:01 PM,14.816,18.271,15.772,16.464,57.421
257,08/25/22 08:00:01 PM,14.912,16.844,14.768,14.856,59.992
258,08/25/22 08:30:01 PM,14.936,16.177,13.978,14.277,65.592
259,08/25/22 09:00:01 PM,14.888,15.509,13.570,13.655,68.586
260,08/25/22 09:30:01 PM,14.792,14.266,11.467,11.638,65.000
261,08/25/22 10:00:01 PM,14.673,13.281,10.810,10.866,66.552
262,08/25/22 10:30:01 PM,14.481,12.582,9.213,9.344,71.836
263,08/25/22 11:00:01 PM,14.290,11.904,8.643,8.743,73.350
264,08/25/22 11:30:01 PM,14.050,11.370,7.720,7.842,75.059
265,08/26/22 12:00:01 AM,13.810,10.956,6.914,6.984,77.862
266,08/26/22 12:30:01 AM,13.570,10.541,7.368,7.542,75.830
267,08/26/22 01:00:01 AM,13.329,10.198,5.949,6.191,77.688
268,08/26/22 01:30:01 AM,13.112,9.706,5.565,5.461,81.349
269,08/26/22 02:00:01 AM,12.871,9.410,4.844,4.990,85.516
270,08/26/22 02:30:01 AM,12.654,9.114,4.194,4.239,87.044
271,08/26/22 03:00:01 AM,12.437,8.717,2.956,3.081,90.481
272,08/26/22 03:30:01 AM,12.219,8.369,2.744,2.909,90.121
273,08/26/22 04:00:01 AM,12.001,8.195,3.168,3.360,89.937
274,08/26/22 04:30:01 AM,11.807,8.020,3.089,3.274,91.682
275,08/26/22 05:00:01 AM,11.589,7.845,2.423,2.609,91.901
276,08/26/22 05:30:01 AM,11.419,7.569,1.832,1.944,94.946
277,08/26/22 06:00:01 AM,11.248,7.217,2.074,2.137,95.248
278,08/26/22 06:30:01 AM,11.053,6.965,1.994,2.137,93.893
279,08/26/22 07:00:01 AM,10.883,6.763,1.832,1.794,95.514
280,08/26/22 07:30:01 AM,10.687,6.636,2.128,2.158,95.846
281,08/26/22 08:00:01 AM,10.516,6.712,3.274,3.424,91.609
282,08/26/22 08:30:01 AM,10.345,6.990,5.154,5.376,88.780
283,08/26/22 09:00:01 AM,10.222,7.167,6.965,7.177,79.510
284,08/26/22 09:30:01 AM,10.100,8.295,13.233,14.148,52.363
285,08/26/22 10:00:01 AM,10.026,9.089,13.449,13.590,52.079
286,08/26/22 10:30:01 AM,10.001,9.977,12.534,14.126,53.094
287,08/26/22 11:00:01 AM,10.051,11.613,13.185,15.306,47.895
288,08/26/22 11:30:01 AM,10.149,12.582,13.088,14.663,50.608
289,08/26/22 12:00:01 PM,10.320,12.485,12.654,13.826,54.931
290,08/26/22 12:30:01 PM,10.492,13.954,14.242,15.821,47.323
291,08/26/22 01:00:01 PM,10.712,13.425,12.992,13.955,53.579
292,08/26/22 01:30:01 PM,10.932,13.161,13.233,13.998,53.887
293,08/26/22 02:00:01 PM,11.102,13.233,13.930,14.255,56.843
294,08/26/22 02:30:01 PM,11.273,13.088,14.337,14.555,50.344
295,08/26/22 03:00:01 PM,11.394,12.871,13.137,13.612,56.774
296,08/26/22 03:30:01 PM,11.492,13.834,15.461,16.636,43.116
297,08/26/22 04:00:01 PM,11.589,16.654,22.154,24.464,27.527
298,08/26/22 04:30:01 PM,11.783,19.365,19.413,22.105,30.813
299,08/26/22 05:00:01 PM,12.147,18.794,22.561,24.228,31.171
300,08/26/22 05:30:01 PM,12.534,18.794,19.888,21.118,29.711
301,08/26/22 06:00:01 PM,12.896,18.295,21.724,22.384,31.435
302,08/26/22 06:30:01 PM,13.185,18.152,17.605,19.017,45.299
303,08/26/22 07:00:01 PM,13.401,17.677,15.652,16.636,48.264
304,08/26/22 07:30:01 PM,13.594,16.749,19.888,19.960,35.886
305,08/26/22 08:00:01 PM,13.666,15.223,13.618,13.655,53.190
306,08/26/22 08:30:01 PM,13.690,14.194,11.977,12.089,55.993
307,08/26/22 09:00:01 PM,13.618,13.401,11.394,11.531,56.724
308,08/26/22 09:30:01 PM,13.497,12.727,11.029,11.145,56.881
309,08/26/22 10:00:01 PM,13.353,12.389,10.051,10.180,65.336
310,08/26/22 10:30:01 PM,13.185,11.977,10.345,10.437,59.704
311,08/26/22 11:00:01 PM,13.040,11.297,8.543,8.636,67.350
312,08/26/22 11:30:01 PM,12.847,10.687,9.410,9.386,66.383
313,08/27/22 12:00:01 AM,12.678,10.345,8.494,8.700,71.029
314,08/27/22 12:30:01 AM,12.485,10.124,8.693,8.807,68.182
315,08/27/22 01:00:01 AM,12.292,9.977,6.839,7.006,74.368
316,08/27/22 01:30:01 AM,12.122,9.534,5.668,5.740,76.938
317,08/27/22 02:00:01 AM,11.953,8.965,5.949,5.805,81.144
318,08/27/22 02:30:01 AM,11.783,8.717,4.402,4.539,83.565
319,08/27/22 03:00:01 AM,11.589,8.618,4.895,5.054,81.605
320,08/27/22 03:30:01 AM,11.419,8.643,4.688,4.839,83.629
321,08/27/22 04:00:01 AM,11.248,8.643,4.921,5.054,81.305
322,08/27/22 04:30:01 AM,11.102,8.568,4.895,5.032,83.154
323,08/27/22 05:00:01 AM,10.980,8.344,4.584,4.732,83.903
324,08/27/22 05:30:01 AM,10.858,8.095,4.272,4.346,87.364
325,08/27/22 06:00:01 AM,10.736,8.020,4.220,4.346,87.100
326,08/27/22 06:30:01 AM,10.614,7.945,4.168,4.282,87.008
327,08/27/22 07:00:01 AM,10.492,7.820,4.714,4.839,86.229
328,08/27/22 07:30:01 AM,10.394,7.870,5.205,5.311,84.981
329,08/27/22 08:00:01 AM,10.296,8.120,5.770,5.826,85.878
330,08/27/22 08:30:01 AM,10.198,8.494,7.268,7.370,82.541
331,08/27/22 09:00:01 AM,10.124,8.866,8.245,8.335,78.412
332,08/27/22 09:30:01 AM,10.100,9.336,9.040,9.408,73.173
333,08/27/22 10:00:01 AM,10.075,9.756,9.879,10.180,70.898
334,08/27/22 10:30:01 AM,10.100,10.541,13.281,13.890,56.822
335,08/27/22 11:00:01 AM,10.149,11.029,11.904,12.775,58.076
336,08/27/22 11:30:01 AM,10.222,11.856,12.509,13.655,58.024
337,08/27/22 12:00:01 PM,10.320,14.098,16.010,18.330,43.116
338,08/27/22 12:30:01 PM,10.492,14.936,14.816,17.022,46.545
339,08/27/22 01:00:01 PM,10.736,14.553,14.074,15.478,50.906
340,08/27/22 01:30:01 PM,10.980,14.433,14.122,15.199,53.896
341,08/27/22 02:00:01 PM,11.200,15.772,15.629,17.043,48.779
342,08/27/22 02:30:01 PM,11.467,18.414,18.176,20.303,39.440
343,08/27/22 03:00:01 PM,11.783,18.438,15.676,17.172,46.133
344,08/27/22 03:30:01 PM,12.147,17.391,16.606,17.043,44.547
345,08/27/22 04:00:01 PM,12.461,16.296,16.868,17.344,43.911
346,08/27/22 04:30:01 PM,12.703,18.319,21.294,23.671,32.572
347,08/27/22 05:00:01 PM,12.920,19.436,19.722,21.676,35.747
348,08/27/22 05:30:01 PM,13.209,20.126,19.460,21.526,43.038
349,08/27/22 06:00:01 PM,13.546,19.936,20.412,22.105,33.829
350,08/27/22 06:30:01 PM,13.834,18.414,17.058,17.644,47.230
351,08/27/22 07:00:01 PM,14.050,17.677,16.844,17.386,47.698
352,08/27/22 07:30:01 PM,14.146,17.106,15.724,16.850,44.924
353,08/27/22 08:00:01 PM,14.194,15.581,14.146,14.319,56.588
354,08/27/22 08:30:01 PM,14.146,14.745,13.064,13.290,61.793
355,08/27/22 09:00:01 PM,14.050,14.026,12.364,12.518,63.771
356,08/27/22 09:30:01 PM,13.906,13.497,11.540,11.638,66.232
357,08/27/22 10:00:01 PM,13.762,12.920,11.102,11.231,65.092
358,08/27/22 10:30:01 PM,13.594,12.340,10.296,10.416,68.563
359,08/27/22 11:00:01 PM,13.425,11.783,10.271,10.437,68.513
360,08/27/22 11:30:01 PM,13.233,11.346,9.657,9.730,75.737
361,08/28/22 12:00:01 AM,13.040,10.980,9.213,9.150,84.701
362,08/28/22 12:30:01 AM,12.847,10.761,7.895,8.014,86.952
363,08/28/22 01:00:01 AM,12.654,10.467,7.995,8.164,88.675
364,08/28/22 01:30:01 AM,12.485,10.785,9.485,9.579,84.340
