Sample,Species,Origin,Planting Year,Sampling Date,Planting Date,Duration,Water propogated,Rooted out,Leafed out (in propogation),Leaf out in 2016,Leaf out in 2015,Leaf out in 2014
KP-SR 9,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
KP-SR 10,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
HER-SP 1,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 2,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 3,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HER-SP 4,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HER-SP 5,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HER-SP 6,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 7,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 8,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 9,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,0,0,
HER-SP 10,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 11,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HER-SP 12,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HER-SP 13,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 14,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HER-SP 15,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 16,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 17,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 18,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 19,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 20,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,0,0,
HER-SP 21,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 22,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 23,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 24,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HER-SP 25,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 26,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,0,
HER-SP 27,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 28,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HER-SP 29,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HER-SP 30,Salix pulchra,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HEF-SR 1,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 2,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 3,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 4,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HEF-SR 4B,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,1,1,
HEF-SR 5,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 6,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 7,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 8,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 9,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 10,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 11,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 12,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 13,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 14,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 15,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 16,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 17,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 18,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 19,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 20,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 21,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 22,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 23,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 24,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 25,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 26,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 27,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 28,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 29,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
HEF-SR 30,Salix richardsonii,QHI,2014,15/08/14,24/08/14,9,No,N/a,N/a,-,0,
KL-SRS 1,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 1,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 2,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 2,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 3,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 3,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 4,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 4,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 5,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 5,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 6,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 6,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 7,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 7,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 8,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 8,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 9,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 9,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 10,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 10,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 11,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 11,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 12,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 12,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 13,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 13,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 14,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 14,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 15,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 15,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 16,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 16,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 17,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 17,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 18,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 18,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 19,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 19,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SRS 20,Salix richardsonii,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
KL-SPS 20,Salix pulchra,PC,2014,07/07/14,10/07/14,3,No,N/a,N/a,-,0,
K15pbg1,Betula nana,KP,2015,20/06/15,19/08/15,60,Yes,No,No,0,,
K15psr1,Salix richardsonii,KP,2015,20/06/15,,,Yes,Yes,Yes,0,,
K15psp1,Salix pulchra,KP,2015,20/06/15,,,Yes,No,Yes,0,,
K15pbg2,Betula nana,KP,2015,20/06/15,19/08/15,60,Yes,No,No,0,,
K15psr2,Salix richardsonii,KP,2015,20/06/15,,,Yes,No,No,0,,
K15psp2,Salix pulchra,KP,2015,20/06/15,,,Yes,Yes,Yes,0,,
K15pbg3,Betula nana,KP,2015,20/06/15,19/08/15,60,Yes,No,No,0,,
K15pbg3,Betula nana,KP,2015,20/06/15,19/08/15,60,Yes,No,No,0,,
K15psr3,Salix richardsonii,KP,2015,20/06/15,,,Yes,Yes,Yes,0,,
K15psp3,Salix pulchra,KP,2015,20/06/15,,,Yes,Yes,Yes,0,,
K15pbg4,Betula nana,KP,2015,20/06/15,19/08/15,60,Yes,No,No,0,,
K15psr4,Salix richardsonii,KP,2015,20/06/15,,,Yes,Yes,No,0,,
K15psp4,Salix pulchra,KP,2015,20/06/15,,,Yes,Yes,Yes,0,,
K15pbg5,Betula nana,KP,2015,20/06/15,,,Yes,,,0,,
K15psr5,Salix richardsonii,KP,2015,20/06/15,,,Yes,Nodules,No,0,,
K15psp5,Salix pulchra,KP,2015,20/06/15,,,Yes,Yes,No,0,,
K15esp1,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp2,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp3,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp4,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp5,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp6,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp7,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp8,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp9,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esp10,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15esr1,Salix richardsonii,PC,2015,27/06/15,20/08/15,54,Yes,Yes,Yes,0,,
K15ebg1,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,No,0,,
K15ssr1,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Yes,No,0,,
K15ssr2,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Nodules,No,0,,
K15ssr3,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Yes,Yes,0,,
K15ssr4,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Yes,Yes,0,,
K15ssr5,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,No,Yes,Early then died,,
K15ssr6,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Yes,Yes,Early then died,,
