"","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","max_stem_diam","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","mean_stem_elong","mean_leaf_length","mean_width","population","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"206","JG",2018,"Salix pulchra","Common_garden",NA,7,23,2023,71,78.2,65.7,23,44,42,57,44,293,275,"KP18SP2",364779.54,204,47.66666667,71.95,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sp2","100% green",5
"207","JG",2018,"Salix pulchra","Common_garden",NA,7,23,2023,28.9,16.3,10.7,13,49,50,46,18,23,21,"KP18SP3",5040.449,20.66666667,48.33333333,13.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sp3","50% brown patches",5
"208","JG",2018,"Salix pulchra","Common_garden",NA,7,23,2023,22.4,36.2,33.5,18,28,26,22,25,22,14,"KP18SP4",27164.48,20.33333333,25.33333333,34.85,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sp4","70% brown tips, rest green",5
"209","CF",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,53.4,110.5,84,57,48,44,62,457,54,392,"KPSR5",495658.8,301,51.33333333,97.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP_Sr_5","20% yellow and crunchy, rest green, spider web",10
"210","JA",2016,"Salix arctica","Common_garden",NA,7,23,2023,10.5,40.3,33.4,27,67,56,61,15,22,11,"PC16CESA2",14133.21,16,61.33333333,36.85,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC16CESa2","40% purple-y patches",7
"211","AB",2016,"Salix pulchra","Common_garden",NA,7,23,2023,35.4,74.6,66.4,26,44,50,42,39,58,90,"PC16CESP7",175351.776,62.33333333,45.33333333,70.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC16CESp7","20% brown patches on leaves",7
"212","SL",2016,"Salix pulchra","Common_garden",NA,7,23,2023,58.8,38.2,31.1,18,49,52,45,32,131,44,"PC16CWSP7",69855.576,69,48.66666667,34.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC16CWSp7","100% green",7
"213","SL",2016,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,12,39,25,15,24,20,23,23,25,43,"PC16CWSP9",11700,30.33333333,22.33333333,32,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"214","JA",2017,"Salix arctica","Common_garden",NA,8,11,2021,5.8,16,18,12,38,48,43,11,13,7,"PC17SA1",1670.4,10.33333333,43,17,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"215","JA",2017,"Salix arctica","Common_garden",NA,8,11,2021,3.6,10,7.8,7,24,28,23,4,3,3,"PC17SA6",280.8,3.333333333,25,8.9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"216","JA",2017,"Salix arctica","Common_garden",NA,8,11,2021,6.6,20,16.5,9,33,39,40,15,13,9,"PC17SA7",2178,12.33333333,37.33333333,18.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"217","JA",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,3.5,14,10,9,24,36,44,10,7,12,"PC17SA9",490,9.666666667,34.66666667,12,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"218","SL",2017,"Salix pulchra","Common_garden",NA,7,23,2023,23.8,28.9,16.9,15,48,54,49,205,94,30,"PC17SP1",11624.158,109.6666667,50.33333333,22.9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP1","Removed four dead branches, 47% of biomass, 40% orange rust, rest is green ",6
"219","JG",2017,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,6.5,19.5,14,18,32,21,31,17,12,13,"PC17SP10",1774.5,14,28,16.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"220","SL",2017,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,4,8.5,9.5,12,27,19,25,17,27,35,"PC17SP3",323,26.33333333,23.66666667,9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"221","CF",2017,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,8,29,22,27,20,14,21,6,7,12,"PC17SP5",5104,8.333333333,18.33333333,25.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"222","CF",2017,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,8.5,12,8,19,38,25,39,29,21,6,"PC17SP6",816,18.66666667,34,10,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"223","JG",2017,"Salix pulchra","Common_garden",NA,7,23,2023,14.1,24.7,24.1,8,41,47,45,50,23,30,"PC17SP7",8393.307,34.33333333,44.33333333,24.4,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP7","80% browning at the tips, 30% yellowing",6
"224","JG",2017,"Salix pulchra","Common_garden",NA,7,23,2023,20.9,70.6,48.7,14,56,52,35,114,129,117,"PC17SP8",71858.798,120,47.66666667,59.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP8","100% green",6
"225","JG",2017,"Salix pulchra","Common_garden",NA,8,11,2021,16,17.5,16.5,12,28,27,31,11,14,19,"PC17SP9",4620,14.66666667,28.66666667,17,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"226","LB",2017,"Salix richardsonii","Common_garden",NA,8,9,2021,16,25,18,13,35,36,30,94,42,25,"PC17SR1",7200,53.66666667,33.66666667,21.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"227","SW",2017,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,36,39,17,18,40,37,36,85,52,27,"PC17SR10",23868,54.66666667,37.66666667,28,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"228","IR",2017,"Salix richardsonii","Common_garden",NA,8,11,2021,10.2,9.9,5.5,9,29,31,28,25,23,NA,"PC17SR12",555.39,NA,29.33333333,7.7,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"229","IR",2017,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,14,20,15,16,26,29,21,16,20,8,"PC17SR13",4200,14.66666667,25.33333333,17.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"230","LB",2017,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,35,24,22,15,39,31,38,60,35,30,"PC17SR2",18480,41.66666667,36,23,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"231","GD",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,68.1,44.5,44.3,34,42,49,50,361,192,175,"PC17SR4",134248.935,242.6666667,47,44.4,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC17SR4","20% small brown patches, rest green",6
"232","GD",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,110,89.5,56.8,48,49,52,56,432,405,270,"PC17SR5",559196,369,52.33333333,73.15,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC17SR5","100% green",6
"233","GD",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,39.6,62.3,53.2,45,42,45,49,45,32,81,"PC17SR6",131248.656,52.66666667,45.33333333,57.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"PC17SR6","35% have purple and brown patches, cobwebs",6
"234","SW",2017,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,15,15,10,17,39,41,35,45,13,5,"PC17SR9",2250,21,38.33333333,12.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"235","JA",2016,"Salix arctica","Common_garden",NA,8,11,2021,2.5,5.4,4,6,21,26,19,4,3,NA,"PP16MSA1",54,NA,22,4.7,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"236","JA",2016,"Salix arctica","Common_garden","2022-08-17",8,17,2022,3,10.5,7.5,8,20,25,24,18,5,3,"PP16MSA5",236.25,8.666666667,23,9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"237","AB",2017,"Salix pulchra","Common_garden",NA,8,11,2021,11.8,13.1,13,13,34,33,33,30,34,24,"PP17SP12",2009.54,29.33333333,33.33333333,13.05,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"238","AB",2017,"Salix pulchra","Common_garden",NA,8,11,2021,15.2,14.1,12.2,13,24,23,26,26,19,22,"PP17SP13",2614.704,22.33333333,24.33333333,13.15,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"239","AB",2017,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,29,57,58,23,74,64,31,320,250,370,"PP17SP15",95874,313.3333333,56.33333333,57.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"240","EW",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,43.4,57,46.4,35,36,43,40,74,39,75,"PP17SR16",114784.32,62.66666667,39.66666667,51.7,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Pp17sr16","80% brown tips, 20% brown patches, cobwebs",6
"241","EW",2017,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,37,36,33,28,34,38,50,80,70,170,"PP17SR19",43956,106.6666667,40.66666667,34.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"242","EW",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,45.7,62,68.4,27,48,45,45,46,50,30,"PP17SR20",193804.56,42,46,65.2,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Pp17SR20","One dead branch removed, 14% biomass, 40% brown patches, cobwebs",6
