"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Sample_Date","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","max_biovol","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"200","KP18SA10",38,25,46,8,17,2022,"Common_garden","Southern","Salix arctica",36.3333333333333,"EW",2018,"2022-08-17",4.5,17,9,7,13,5,4,688.5,7.33333333333333,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"201","KP18SA2",33,31,28,7,23,2023,"Common_garden","Southern","Salix arctica",30.6666666666667,"JA",2018,NA,2.5,12.7,12.7,4,5,6,6,403.225,5.66666666666667,12.7,NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sa2","40% are browning",5
"202","KP18SA4",35,42,43,7,23,2023,"Common_garden","Southern","Salix arctica",40,"JA",2018,NA,3.5,21.2,16.4,7,8,22,29,1216.88,19.6666666666667,18.8,NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sa4","80% purple-y brown patches",5
"203","KP18SA8",24,30,28,7,23,2023,"Common_garden","Southern","Salix arctica",27.3333333333333,"EW",2018,NA,10.3,28.1,14.4,8,13,10,5,4167.792,9.33333333333333,21.25,NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sa8","Two parts 10 cm apart, 100% brown patches on leaves",5
"204","KP18SA9",35,34,26,7,23,2023,"Common_garden","Southern","Salix arctica",31.6666666666667,"EW",2018,NA,3.1,10,7,6,2,2,3,217,2.33333333333333,8.5,NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sa9","60% brown patches",5
"205","KP18SP1",48,41,21,8,17,2022,"Common_garden","Southern","Salix pulchra",36.6666666666667,"JG",2018,"2022-08-17",27,49,42,17,102,83,50,55566,78.3333333333333,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"206","KP18SP2",44,42,57,7,23,2023,"Common_garden","Southern","Salix pulchra",47.6666666666667,"JG",2018,NA,71,78.2,65.7,23,44,293,275,364779.54,204,71.95,NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sp2","100% green",5
"207","KP18SP3",49,50,46,7,23,2023,"Common_garden","Southern","Salix pulchra",48.3333333333333,"JG",2018,NA,28.9,16.3,10.7,13,18,23,21,5040.449,20.6666666666667,13.5,NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sp3","50% brown patches",5
"208","KP18SP4",50,41,38,8,17,2022,"Common_garden","Southern","Salix pulchra",43,"JG",2018,"2022-08-17",26,45,31,12,130,150,200,36270,160,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"209","KPSR5",48,44,62,7,23,2023,"Common_garden","Southern","Salix richardsonii",51.3333333333333,"CF",2013,NA,53.4,110.5,84,57,457,54,392,495658.8,301,97.25,NA,NA,NA,NA,NA,NA,NA,NA,"KP_Sr_5","20% yellow and crunchy, rest green, spider web",10
"210","PC16CESA2",67,56,61,7,23,2023,"Common_garden","Southern","Salix arctica",61.3333333333333,"JA",2016,NA,10.5,40.3,33.4,27,15,22,11,14133.21,16,36.85,NA,NA,NA,NA,NA,NA,NA,NA,"PC16CESa2","40% purple-y patches",7
"211","PC16CESP7",44,50,42,7,23,2023,"Common_garden","Southern","Salix pulchra",45.3333333333333,"AB",2016,NA,35.4,74.6,66.4,26,39,58,90,175351.776,62.3333333333333,70.5,NA,NA,NA,NA,NA,NA,NA,NA,"PC16CESp7","20% brown patches on leaves",7
"212","PC16CWSP7",54,51,45,8,17,2022,"Common_garden","Southern","Salix pulchra",50,"SL",2016,"2022-08-17",60,38,34,15,390,245,150,77520,261.666666666667,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"213","PC16CWSP9",35,36,40,7,23,2023,"Common_garden","Southern","Salix pulchra",37,"SL",2016,NA,14.7,47.3,36.7,13,16,24,19,25517.877,19.6666666666667,42,NA,NA,NA,NA,NA,NA,NA,NA,"PC16CWSp9","40% brown tips on leaves, 20% orange rust",7
"214","PC17SA1",59,67,57,7,23,2023,"Common_garden","Southern","Salix arctica",61,"JA",2017,NA,10.2,36.3,31.2,11,35,33,24,11552.112,30.6666666666667,33.75,NA,NA,NA,NA,NA,NA,NA,NA,"PC17Sa1","40% brown and purple patches",6
"215","PC17SA6",28,34,32,7,23,2023,"Common_garden","Southern","Salix arctica",31.3333333333333,"JA",2017,NA,6.7,12.9,10.2,6,16,9,7,881.586,10.6666666666667,11.55,NA,NA,NA,NA,NA,NA,NA,NA,"PC17Sa6","100% yellow and brown patches",6
"216","PC17SA7",37,44,45,7,23,2023,"Common_garden","Southern","Salix arctica",42,"JA",2017,NA,8.1,26.9,26.3,8,12,15,6,5730.507,11,26.6,NA,NA,NA,NA,NA,NA,NA,NA,"PC17Sa7","100% largish purple spots",6
"217","PC17SA9",31,27,30,7,23,2023,"Common_garden","Southern","Salix arctica",29.3333333333333,"JA",2017,NA,5.1,11,9.7,5,4,7,13,544.17,8,10.35,NA,NA,NA,NA,NA,NA,NA,NA,"PC17Sa9","60% purple patches",6
"218","PC17SP1",42,40,39,8,17,2022,"Common_garden","Southern","Salix pulchra",40.3333333333333,"SL",2017,"2022-08-17",25,42,56,8,340,400,200,58800,313.333333333333,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"219","PC17SP10",34,41,42,7,23,2023,"Common_garden","Southern","Salix pulchra",39,"JG",2017,NA,8.8,24.9,14.1,8,22,7,16,3089.592,15,19.5,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP10","100% brown at very tips on leaves, 20% yellowing",6
"220","PC17SP3",31,29,19,7,23,2023,"Common_garden","Southern","Salix pulchra",26.3333333333333,"SL",2017,NA,4.1,17.2,9.5,9,7,4,18,669.94,9.66666666666667,13.35,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP3","40% brown yellow leaves with rust ",6
"221","PC17SP5",20,14,21,8,17,2022,"Common_garden","Southern","Salix pulchra",18.3333333333333,"CF",2017,"2022-08-17",8,29,22,27,6,7,12,5104,8.33333333333333,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"222","PC17SP6",18,22,16,7,23,2023,"Common_garden","Southern","Salix pulchra",18.6666666666667,"CF",2017,NA,8.6,15.3,11.7,17,6,10,15,1539.486,10.3333333333333,13.5,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP6","20% yellowing, a few leafless branches",6
"223","PC17SP7",41,47,45,7,23,2023,"Common_garden","Southern","Salix pulchra",44.3333333333333,"JG",2017,NA,14.1,24.7,24.1,8,50,23,30,8393.307,34.3333333333333,24.4,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP7","80% browning at the tips, 30% yellowing",6
"224","PC17SP8",56,52,35,7,23,2023,"Common_garden","Southern","Salix pulchra",47.6666666666667,"JG",2017,NA,20.9,70.6,48.7,14,114,129,117,71858.798,120,59.65,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP8","100% green",6
"225","PC17SP9",30,26,24,7,23,2023,"Common_garden","Southern","Salix pulchra",26.6666666666667,"JG",2017,NA,15.7,27.5,22.4,12,3,7,10,9671.2,6.66666666666667,24.95,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SP9","100% brown tips on leaves, 40% yellowing",6
"226","PC17SR1",28,50,33,8,17,2022,"Common_garden","Southern","Salix richardsonii",37,"LB",2017,"2022-08-17",40,30.5,40,12,330,110,180,48800,206.666666666667,35.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"227","PC17SR10",40,37,36,8,17,2022,"Common_garden","Southern","Salix richardsonii",37.6666666666667,"SW",2017,"2022-08-17",36,39,17,18,85,52,27,23868,54.6666666666667,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"228","PC17SR12",18,26,22,7,23,2023,"Common_garden","Southern","Salix richardsonii",22,"IR",2017,NA,9.3,11,5.9,9,9,11,4,603.57,8,8.45,NA,NA,NA,NA,NA,NA,NA,NA,"PC17Sr12","30% yellow browning",6
"229","PC17SR13",31,26,29,7,23,2023,"Common_garden","Southern","Salix richardsonii",28.6666666666667,"IR",2017,NA,16.1,24.9,15.2,13,38,25,23,6093.528,28.6666666666667,20.05,NA,NA,NA,NA,NA,NA,NA,NA,"PC17Sr13","30% starting to yellow browning",6
"230","PC17SR2",39,40,37,7,23,2023,"Common_garden","Southern","Salix richardsonii",38.6666666666667,"LB",2017,NA,37.1,21.5,24.2,14,45,37,24,19303.13,35.3333333333333,22.85,NA,NA,NA,NA,NA,NA,NA,NA,"PC17Sr2","All green",6
"231","PC17SR4",46,44,41,8,17,2022,"Common_garden","Southern","Salix richardsonii",43.6666666666667,"GD",2017,"2022-08-17",74,63,45,15,410,250,145,209790,268.333333333333,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"232","PC17SR5",49,52,56,7,23,2023,"Common_garden","Southern","Salix richardsonii",52.3333333333333,"GD",2017,NA,110,89.5,56.8,48,432,405,270,559196,369,73.15,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SR5","100% green",6
"233","PC17SR6",42,45,49,7,23,2023,"Common_garden","Southern","Salix richardsonii",45.3333333333333,"GD",2017,NA,39.6,62.3,53.2,45,45,32,81,131248.656,52.6666666666667,57.75,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SR6","35% have purple and brown patches, cobwebs",6
"234","PC17SR9",36,35,39,8,11,2021,"Common_garden","Southern","Salix richardsonii",36.6666666666667,"SW",2017,NA,18,14,9.5,12,51,64,10,2394,41.6666666666667,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"235","PP16MSA1",24,23,18,7,23,2023,"Common_garden","Southern","Salix arctica",21.6666666666667,"JA",2016,NA,3.5,5.8,5.3,6,3,2,2,107.59,2.33333333333333,5.55,NA,NA,NA,NA,NA,NA,NA,NA,"PP16MSa1","60% have brown patches",7
"236","PP16MSA5",36,33,29,7,23,2023,"Common_garden","Southern","Salix arctica",32.6666666666667,"JA",2016,NA,3.8,13,10.4,5,7,11,4,513.76,7.33333333333333,11.7,NA,NA,NA,NA,NA,NA,NA,NA,"PP16MSa5","100% significant brown tips",7
"237","PP17SP12",34,33,33,8,11,2021,"Common_garden","Southern","Salix pulchra",33.3333333333333,"AB",2017,NA,11.8,13.1,13,13,30,34,24,2009.54,29.3333333333333,13.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"238","PP17SP13",24,23,26,8,11,2021,"Common_garden","Southern","Salix pulchra",24.3333333333333,"AB",2017,NA,15.2,14.1,12.2,13,26,19,22,2614.704,22.3333333333333,13.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"239","PP17SP15",32,27,30,7,23,2023,"Common_garden","Southern","Salix pulchra",29.6666666666667,"AB",2017,NA,22.2,72.3,60.1,16,55,14,22,96464.106,30.3333333333333,66.2,NA,NA,NA,NA,NA,NA,NA,NA,"Pp17sp15","25% yellow and crunchy, 20% yellowing",6
"240","PP17SR16",36,43,40,7,23,2023,"Common_garden","Southern","Salix richardsonii",39.6666666666667,"EW",2017,NA,43.4,57,46.4,35,74,39,75,114784.32,62.6666666666667,51.7,NA,NA,NA,NA,NA,NA,NA,NA,"Pp17sr16","80% brown tips, 20% brown patches, cobwebs",6
"241","PP17SR19",44,46,45,7,23,2023,"Common_garden","Southern","Salix richardsonii",45,"EW",2017,NA,42.3,44.9,39.5,22,27,71,42,75021.165,46.6666666666667,42.2,NA,NA,NA,NA,NA,NA,NA,NA,"Pp17Sr19","85% turning brown and red, 15% brown",6
"242","PP17SR20",48,45,45,7,23,2023,"Common_garden","Southern","Salix richardsonii",46,"EW",2017,NA,45.7,62,68.4,27,46,50,30,193804.56,42,65.2,NA,NA,NA,NA,NA,NA,NA,NA,"Pp17SR20","One dead branch removed, 14% biomass, 40% brown patches, cobwebs",6
