"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","max_biovol","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"36",3102,3102,3102,"SAB","H17Sa12",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2,9,10,7,35,32,23,9,12,NA,"H17SA12",180,5,NA,30,9.5,"Northern"
"37",3104,3104,3104,"SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,7,18.5,14,9,38,31,34,13,27,25,"H17SA15",1813,5,21.6666666666667,34.3333333333333,16.25,"Northern"
"38",3156,3156,3156,"JB","H17Sa17",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,3,18,11.5,10,23,30,30,9,35,24,"H17SA17",621,5,22.6666666666667,27.6666666666667,14.75,"Northern"
"39",3158,3158,3158,"JB","H17Sa18",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,10,47,25,16,49,32,36,40,28,26,"H17SA18",11750,5,31.3333333333333,39,36,"Northern"
"40",2695,2028,2028,"JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.1,35,30.5,14,39,36,34,22,14,12,"H17SA20",4376.75,4,16,36.3333333333333,32.75,"Northern"
"41",3039,3039,3039,"JA","H17Sa6",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,26,23,9,49,64,66,93,33,25,"H17SA6",2990,5,50.3333333333333,59.6666666666667,24.5,"Northern"
"42",2697,2030,2030,"JA","H17Sa8",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.4,16.5,12.5,9,24,23,24,6,5,10,"H17SA8",907.5,4,7,23.6666666666667,14.5,"Northern"
"43",2698,2031,2031,"JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,7.8,15,20.5,6,33,35,28,6,7,5,"H17SA9",2398.5,4,6,32,17.75,"Northern"
"44",2699,2032,2032,"AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.2,11.9,11.9,10,14,16,17,24,19,14,"H17SP10",1161.202,4,19,15.6666666666667,11.9,"Northern"
"45",3130,3130,3130,"AB","H17Sp12",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,5,15.5,14,7,15,16,17,9,4,5,"H17SP12",1085,5,6,16,14.75,"Northern"
"46",3128,3128,3128,"AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,11,12.5,12,8,19,20,22,37,18,26,"H17SP13",1650,5,27,20.3333333333333,12.25,"Northern"
"47",2086,2344,2344,"AB","H17Sp14",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,15.5,10.85,6,9.09,14.44,17.49,19.7,36.21,29.02,27.91,"H17SP14",1009.05,3,31.0466666666667,17.21,8.425,"Northern"
"48",2703,2036,2036,"AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.4,6.6,3.9,9,11,14,19,8,7,12,"H17SP15",216.216,4,9,14.6666666666667,5.25,"Northern"
"49",3125,3125,3125,"AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4.5,11,9.9,9,20,19,23,11,18,18,"H17SP18",490.05,5,15.6666666666667,20.6666666666667,10.45,"Northern"
"50",2096,2354,2354,"IMS","H17Sp3",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,42,2.9,2.2,10,NA,NA,NA,6,10,4,"H17SP3",267.96,3,6.66666666666667,NA,2.55,"Northern"
"51",2936,2936,2936,"IMS","H17Sp6",2017,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4,4.5,9,9,19,21,15,12,3,NA,"H17SP6",162,5,NA,18.3333333333333,6.75,"Northern"
"52",2707,2040,2040,"IMS","H17Sp7",2017,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,3.6,4.3,1.2,7,16,17,17,16,13,6,"H17SP7",18.576,4,11.6666666666667,16.6666666666667,2.75,"Northern"
"53",2708,2041,2041,"CF","H17Sp9",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,16.5,12.5,7.5,9,25,22,21,9,10,18,"H17SP9",1546.875,4,12.3333333333333,22.6666666666667,10,"Northern"
"54",2709,2042,2042,"LB","H17Sr1",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,10.6,11.5,8.5,11,25,26,28,7,10,4,"H17SR1",1036.15,4,7,26.3333333333333,10,"Northern"
"55",2978,2978,2978,"GD","H17Sr10",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,10,24,25,13,22,20,20,30,24,20,"H17SR10",6000,5,24.6666666666667,20.6666666666667,24.5,"Northern"
"56",2982,2982,2982,"GD","H17Sr12",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,11,9,12,21,26,16,37,41,19,"H17SR12",594,5,32.3333333333333,21,10,"Northern"
"57",2712,2045,2045,"GD","H17Sr13",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,13.5,17,13.5,14,34,29,29,19,20,37,"H17SR13",3098.25,4,25.3333333333333,30.6666666666667,15.25,"Northern"
"58",2983,2983,2983,"GD","H17Sr15",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,9,17,14,12,20,17,21,3,2,NA,"H17SR15",2142,5,NA,19.3333333333333,15.5,"Northern"
"59",3090,3090,3090,"IR","H17Sr18",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,8,12,17.1,12,25,21,22,5,17,NA,"H17SR18",1641.6,5,NA,22.6666666666667,14.55,"Northern"
"60",3091,3091,3091,"IR","H17Sr19",2017,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,5.5,11.5,7.4,11,17,15,18,12,33,20,"H17SR19",468.05,5,21.6666666666667,16.6666666666667,9.45,"Northern"
"61",3115,3115,3115,"AC","H17Sr24",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,9.5,14,11,12,36,32,31,60,16,21,"H17SR24",1463,5,32.3333333333333,33,12.5,"Northern"
"62",2121,2379,2379,"AC","H17Sr25",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,24.93,20.9,3.21,2.83,NA,NA,NA,9.02,7.32,7.36,"H17SR25",1672.52877,3,7.9,NA,12.055,"Northern"
"63",2126,2384,2384,"LB","H17Sr3",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,0.8,2.4,1.8,11,16,14,NA,6,4,NA,"H17SR3",3.456,3,NA,NA,2.1,"Northern"
"64",3162,3162,3162,"EW","H17Sr30",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,14,27,22,18,38,32,28,24,25,13,"H17SR30",8316,5,20.6666666666667,32.6666666666667,24.5,"Northern"
"65",3167,3167,3167,"EW","H17Sr35",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,19,23,24,16,27,26,28,36,35,25,"H17SR35",10488,5,32,27,23.5,"Northern"
"66",2133,2391,2391,"EW","H17Sr36",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,14.6,20.8,9.4,11,32,28,38,68,56,64,"H17SR36",2854.592,3,62.6666666666667,32.6666666666667,15.1,"Northern"
"67",2721,2054,2054,"EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,5.9,8.4,6.8,8,23,18,20,6,10,9,"H17SR37",337.008,4,8.33333333333333,20.3333333333333,7.6,"Northern"
"68",2137,2395,2395,"LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,12,9.4,5.8,14,NA,NA,NA,44,23,18,"H17SR4",654.24,3,28.3333333333333,NA,7.6,"Northern"
"69",2139,2397,2397,"LB","H17Sr5",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,16.2,15.1,9,12,21,24,NA,36,67,32,"H17SR5",2201.58,3,45,NA,12.05,"Northern"
"70",2980,2980,2980,"GD","H17Sr7",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,9,12,15,8,24,25,26,27,32,24,"H17SR7",1620,5,27.6666666666667,25,13.5,"Northern"
"71",2979,2979,2979,"GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,18.5,32,35,11,20,19,23,15,28,56,"H17SR9",20720,5,33,20.6666666666667,33.5,"Northern"
"72",3106,3106,3106,"SAB","H18Sa1",2018,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,9.5,7.5,9,25,35,27,12,11,7,"H18SA1",285,4,10,29,8.5,"Northern"
"73",3107,3107,3107,"SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,14.5,13.5,8,30,39,22,18,16,12,"H18SA8",978.75,4,15.3333333333333,30.3333333333333,14,"Northern"
"74",2944,2944,2944,"IMS","H18Sp1",2018,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4.5,5,3.2,5,22,11,14,7,8,3,"H18SP1",72,4,6,15.6666666666667,4.1,"Northern"
"75",2971,2971,2971,"SL","H18Sp11",2018,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,8.5,8,12,8.5,25,18,22,12,15,11,"H18SP11",816,4,12.6666666666667,21.6666666666667,10,"Northern"
"76",2733,2066,2066,"SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,9.2,9.5,5.5,7,25,20,22,7,16,10,"H18SP15",480.7,3,11,22.3333333333333,7.5,"Northern"
"77",3058,3058,3058,"JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,9,7,6.5,4,31,14,24,10,7,NA,"H18SP16",409.5,4,NA,23,6.75,"Northern"
"78",2735,2068,2068,"JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,3.7,5.6,3.5,5,21,23,25,7,6,7,"H18SP18",72.52,3,6.66666666666667,23,4.55,"Northern"
"79",2178,2436,2436,"IMS","H18Sp2",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,2.1,1,0.5,6,NA,NA,NA,22,NA,NA,"H18SP2",1.05,2,NA,NA,0.75,"Northern"
"80",2738,2071,2071,"MG","H18Sp24",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,2.7,3.6,2.4,3,NA,NA,NA,4,6,5,"H18SP24",23.328,3,5,NA,3,"Northern"
"81",2191,2449,2449,"IMS","H18Sp4",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,19.4,8.8,3.3,4,NA,NA,NA,23,22,30,"H18SP4",563.376,2,25,NA,6.05,"Northern"
"82",2742,2075,2075,"IMS","H18Sp5",2018,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,13.6,10.6,2.4,5,NA,NA,NA,9,8,17,"H18SP5",345.984,3,11.3333333333333,NA,6.5,"Northern"
"83",2194,2452,2452,"CF","H18Sp7",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,12.1,9.4,2.4,7,NA,NA,NA,12,11,14,"H18SP7",272.976,2,12.3333333333333,NA,5.9,"Northern"
"84",2743,2076,2076,"CF","H18Sp8",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,1.5,3,0.9,2,15,19,NA,5,NA,NA,"H18SP8",4.05,3,NA,NA,1.95,"Northern"
"85",2744,2077,2077,"CF","H18Sp9",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.5,5,8.5,4,NA,12,9,2.5,4,10,"H18SP9",318.75,3,5.5,NA,6.75,"Northern"
"86",2988,2988,2988,"GD","H18Sr10",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,14,9,10,20,24,13,NA,NA,NA,"H18SR10",756,4,NA,19,11.5,"Northern"
"87",2962,2962,2962,"LB","H18Sr2",2018,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,5.1,8.4,6.9,8,20,18,21,25,11,15,"H18SR2",295.596,4,17,19.6666666666667,7.65,"Northern"
"88",2750,2083,2083,"EW","H18Sr27",2018,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,15.5,14.2,11.1,6,32,34,31,37,34,38,"H18SR27",2443.11,3,36.3333333333333,32.3333333333333,12.65,"Northern"
"89",2218,2476,2476,"EW","H18Sr29",2018,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,5.4,15.4,7.1,5,NA,NA,NA,43,42,40,"H18SR29",590.436,2,41.6666666666667,NA,11.25,"Northern"
"90",2752,2085,2085,"EW","H18Sr30",2018,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,15.8,17.2,9.5,13,26,29,26,34,27,29,"H18SR30",2581.72,3,30,27,13.35,"Northern"
"91",2753,2086,2086,"GD","H18Sr6",2018,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,2.8,4.8,3.5,9,15,14,14,5,7,8,"H18SR6",47.04,3,6.66666666666667,14.3333333333333,4.15,"Northern"
"92",2989,2989,2989,"GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,4.5,13,13,6,21,22,20,18,20,8,"H18SR8",760.5,4,15.3333333333333,21,13,"Northern"
"93",3097,3097,3097,"SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,16.5,19,10,19,21,21,9,8,24,"HE16SA14",1567.5,6,13.6666666666667,20.3333333333333,17.75,"Northern"
"94",3028,3028,3028,"JA","HE16Sa3",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,14.5,14,9,35,27,30,51,35,31,"HE16SA3",812,6,39,30.6666666666667,14.25,"Northern"
"95",3098,3098,3098,"SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2.5,8.5,7.5,6,20,25,22,5,8,4,"HE16SA6",159.375,6,5.66666666666667,22.3333333333333,8,"Northern"
"96",3099,3099,3099,"SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,3.5,20,14,10,35,26,29,16,16,25,"HE16SA7",980,6,19,30,17,"Northern"
"97",2963,2963,2963,"SL","HE16Sp15",2016,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6,16.5,11.5,8,25,20,24,11,10,17,"HE16SP15",1138.5,6,12.6666666666667,23,14,"Northern"
"98",3046,3046,3046,"JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,6,11,15.5,9,19,26,22,18,27,15,"HE16SP17",1023,6,20,22.3333333333333,13.25,"Northern"
"99",3063,3063,3063,"MG","HESp11",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,18,27,25,13,31,28,22,16,12,29,"HESP11",12150,9,19,27,26,"Northern"
"100",3064,3064,3064,"MG","HESp12",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,20,32,27,13,30,22,23,10,6,20,"HESP12",17280,9,12,25,29.5,"Northern"
"101",2764,2097,2097,"MG","HESp14",2013,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,4,9.6,8.5,10,24,29,26,6,11,14,"HESP14",326.4,8,10.3333333333333,26.3333333333333,9.05,"Northern"
"102",2292,2550,2550,"MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,12.2,11.1,9.4,7,9,16,17,4.5,8.2,15.4,"HESP17",1272.948,7,9.36666666666667,14,10.25,"Northern"
"103",2297,2555,2555,"IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,4.2,16,5.8,9,NA,NA,NA,10,8,6,"HESP2",389.76,7,8,NA,10.9,"Northern"
"104",2298,2556,2556,"MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,10.4,16.8,8.9,12,14,23,22,16,14,21,"HESP20",1555.008,7,17,19.6666666666667,12.85,"Northern"
"105",2768,2101,2101,"IMS","HESp24",2013,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,19,25,15.6,9,23,24,25,23,15,22,"HESP24",7410,8,20,24,20.3,"Northern"
"106",3122,3122,3122,"AB","HESp29",2013,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,12,19,16,18,20,26,21,18,17,19,"HESP29",3648,9,18,22.3333333333333,17.5,"Northern"
"107",2770,2103,2103,"IMS","HESp3",2013,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,15.5,38,22,15,20,26,27,12,36,19,"HESP3",12958,8,22.3333333333333,24.3333333333333,30,"Northern"
"108",2305,2563,2563,"IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,8.8,16.2,15.2,10,22,18,NA,20,12,24,"HESP4",2166.912,7,18.6666666666667,NA,15.7,"Northern"
"109",2308,2566,2566,"CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,15.2,19.4,16.6,10,11,16,12,18,21,16,"HESP6",4895.008,7,18.3333333333333,13,18,"Northern"
"110",2309,2567,2567,"SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,11.1,14.2,6.2,10,23,23,24,55,32,22,"HESR13",977.244,7,36.3333333333333,23.3333333333333,10.2,"Northern"
"111",2949,2949,2949,"LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,12,23,12,15,17,23,25,29,15,23,"HESR2",3312,9,22.3333333333333,21.6666666666667,17.5,"Northern"
"112",2312,2570,2570,"AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,9.5,12.7,13,9.99,NA,NA,NA,22.08,26.73,21.4,"HESR21",1568.45,7,23.4033333333333,NA,12.85,"Northern"
"113",3112,3112,3112,"AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,7,8,8.5,5,19,17,25,15,13,24,"HESR23",476,9,17.3333333333333,20.3333333333333,8.25,"Northern"
"114",2314,2572,2572,"AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,9.8,10.9,9.5,11.63,40.73,34.94,30.64,12.68,17.29,12.61,"HESR26",1014.79,7,14.1933333333333,35.4366666666667,10.2,"Northern"
"115",2948,2948,2948,"LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,15,21,22,10,21,13,29,17,12,12,"HESR3",6930,9,13.6666666666667,21,21.5,"Northern"
"116",2778,2111,2111,"LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","2021-08-06",8,6,2021,8.2,17.5,16,15,27,25,29,24,20,12,"HESR4",2296,8,18.6666666666667,27,16.75,"Northern"
