"","PhenocamID","Year","plant_first_vis","Snow_melt","All_snow_free","Snow_return_EoS","Half_snow_cover_EoS","Full_snow_cover_EoS","First_leaf_bud_burst","Half_leaves_green","All_leaves_green","First_leaf_yellow","Half_leaves_yellow","All_leaves_yellow","Species","Salix_bud_burst","Salix_first_yellow","Salix_last_yellow","Snow_melt_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","First_leaf_bud_burst_DOY","Half_leaves_green_DOY","All_leaves_green_DOY","First_leaf_yellow_DOY","Half_leaves_yellow_DOY","All_leaves_yellow_DOY","Salix_first_bud_burst_DOY","Salix_first_yellow_DOY","Half_snow_cover_EoS_DOY","Full_snow_cover_EoS_DOY","Salix_last_yellow_DOY","growing_season","population","...1","...2","Plot","Viewshed","NOTES","First_greening","Greening_notes","Salixbud_burst_DOY","First_greening_DOY","ShrubID_Standard","Plants_first_visible_through_snow","Last_leaves_yellow","Plants_first_visible_through_snow_DOY","Last_leaves_yellow_DOY"
"11","QHI_2",2017,NA,NA,NA,NA,NA,NA,2017-06-07,2017-06-22,NA,2017-08-01,NA,NA,"Salix arctica",2017-06-11,2017-08-09,NA,NA,NA,NA,158,173,NA,213,NA,NA,162,221,NA,NA,NA,55,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","QHI_3",2017,2017-05-03,2017-05-16,2017-05-19,NA,NA,NA,NA,NA,NA,2017-07-21,2017-08-14,2017-09-11,"Salix pulchra",2017-06-18,2017-08-09,2017-09-03,136,139,NA,NA,NA,NA,202,226,254,169,221,NA,NA,246,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","QHI_14",2017,NA,2017-06-04,2017-06-16,NA,NA,NA,2017-06-11,2017-06-25,2017-07-06,2017-08-03,2017-08-25,NA,"Salix richardsonii",NA,2017-08-05,NA,155,167,NA,162,176,187,215,237,NA,NA,217,NA,NA,NA,53,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","QHI_5",2017,2017-05-04,2017-05-15,2017-05-28,NA,NA,NA,2017-06-06,2017-06-23,2017-07-05,2017-08-01,2017-08-24,NA,"Salix arctica",2017-06-16,2017-08-09,NA,135,148,NA,157,174,186,213,236,NA,167,221,NA,NA,NA,56,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","QHI_6",2017,2017-05-04,2017-05-17,2017-05-19,NA,NA,NA,2017-06-07,2017-06-19,2017-07-05,2017-07-23,2017-08-24,NA,"Salix pulchra",2017-06-10,2017-07-26,2017-08-24,137,139,NA,158,170,186,204,236,NA,161,207,NA,NA,236,46,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","QHI_1",2016,NA,NA,NA,NA,NA,NA,NA,2016-06-21,2016-07-07,2016-07-20,2016-08-23,NA,"Salix arctica",NA,2016-07-29,NA,NA,NA,NA,NA,173,189,202,236,NA,NA,211,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","QHI_2",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-29,NA,NA,"Salix arctica",NA,2016-07-29,NA,NA,NA,NA,NA,NA,NA,211,NA,NA,NA,211,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","QHI_3",2016,NA,NA,NA,NA,NA,NA,NA,2016-06-27,2016-07-10,2016-07-28,2016-08-18,NA,"Salix pulchra",NA,NA,NA,NA,NA,NA,NA,179,192,210,231,NA,NA,NA,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","QHI_14",2016,NA,2016-06-25,2016-07-02,NA,NA,NA,NA,2016-06-20,2016-07-05,2016-07-27,2016-08-18,NA,"Salix richardsonii",NA,NA,2016-08-28,177,184,NA,NA,172,187,209,231,NA,NA,NA,NA,NA,241,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","QHI_5",2016,NA,NA,NA,NA,NA,NA,NA,2016-06-21,2016-07-08,2016-07-28,2016-08-19,NA,"Salix arctica",NA,2016-07-29,2016-08-26,NA,NA,NA,NA,173,190,210,232,NA,NA,211,NA,NA,239,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","QHI_6",2016,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-09,2016-07-26,2016-08-21,NA,"Salix pulchra",NA,NA,2022-08-27,NA,NA,NA,NA,NA,191,208,234,NA,NA,NA,NA,NA,239,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","QHI_1",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-23,NA,NA,"Salix arctica",NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,182,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","QHI_2",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-26,NA,NA,"Salix arctica",NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,182,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","QHI_3",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-21,NA,NA,"Salix pulchra",NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,202,NA,NA,NA,182,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","QHI_4",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-25,NA,NA,"Salix richardsonii",NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,182,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","QHI_5",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-02,NA,NA,"Salix arctica",NA,2022-07-31,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,212,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","QHI_6",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-31,NA,NA,"Salix pulchra",NA,2022-07-20,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,201,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","QHI_7",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-28,NA,NA,"Salix richardsonii",NA,2022-07-28,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,209,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","QHI_9",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-24,NA,NA,"Salix richardsonii",NA,2022-07-22,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,203,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","QHI_10",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-04,NA,NA,"Salix arctica",NA,2022-07-26,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,207,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","QHI_11",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-26,NA,NA,"Salix richardsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","QHI_12",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-28,NA,NA,"Salix pulchra",NA,2022-07-27,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,208,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","QHI_13",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-27,NA,NA,"Salix arctica",NA,2022-08-03,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,215,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","QHI_14",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-07,NA,NA,"Salix richardsonii",NA,2022-07-29,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,210,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","QHI_15",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-02,NA,NA,"Salix pulchra",NA,2022-08-03,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,215,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","QHI_18",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica",NA,2022-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","QHI_19",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-28,NA,NA,"Salix arctica",NA,2022-07-31,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,212,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","QHI_20",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-26,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,"QHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,2021,NA,NA,NA,2021-08-28,NA,2021-08-29,NA,NA,NA,2021-07-20,2021-08-18,2021-09-14,"Salix pulchra",NA,2021-07-20,2021-09-12,NA,NA,240,NA,NA,NA,201,230,257,NA,201,NA,NA,255,NA,"KP",1,1,"KP1-2021","Bottom half of image : plateau, top half : mountains in distance, thin strip of sky at the top. Gradually more sky in image until camera gets covered in snow in Nov. 2021. Between December 7 and 20 viewshed shows 2/3 plateau and a branch blocking the rest of the image. From Dec. 20 on, camera blocked by snow.","photos start 24 June 2021. Early photos (in late June) show Dryas flowers in bottom right corner, but disappear from view by June 27. Unclear if viewshed moved. Gap in photos July 6 to 20? Camera knocked askew sometime between November 17 and December 7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,2021,NA,NA,NA,2021-08-28,NA,2021-08-28,NA,NA,NA,2021-07-19,2021-08-23,2021-09-19,"Salix pulchra",NA,2021-07-19,2021-08-11,NA,NA,240,NA,NA,NA,200,235,262,NA,200,NA,NA,223,NA,"KP",2,2,"KP2-2021","Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Lens very cloud after 7 August 2021, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,2021,NA,NA,NA,2021-08-28,NA,2021-08-29,NA,NA,2021-07-08,2021-07-18,2021-08-20,2021-09-20,"Salix richardsonii",NA,2021-07-21,2021-08-27,NA,NA,240,NA,NA,189,199,232,263,NA,202,NA,NA,239,NA,"KP",3,3,"KP7-2021","Shows shrub in foreground with a bit of lake at the top. Starting August 29, shows only ground and a bit of a shrub. Covered in snow intermittently Oct.-Dec.","did not take photos at initial set up. Photos start 6 July 2021.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,2021,NA,NA,NA,2021-08-28,NA,2021-09-27,NA,NA,2021-07-07,2021-07-28,2021-08-21,2021-09-11,"Salix richardsonii",NA,2021-07-18,2021-09-12,NA,NA,240,NA,NA,188,209,233,254,NA,199,NA,NA,255,NA,"KP",4,4,"KP3-2021","24 June-22 July : 3/4 of image is plateau ground, top 1/4 is lake in distance. 23-28 July : image mostly shows mountain and sky in distance. From 28 July : most of image is plateau ground with a thin strip at the top showing mountain in distance.","photos start 24 June 2021. Camera covered in snow Nov. 17-Dec 7, then from Dec. 21.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,2021,NA,NA,NA,2021-08-28,NA,2021-08-29,NA,NA,NA,2021-08-02,2021-08-21,2021-09-19,"Salix pulchra",NA,2021-08-11,NA,NA,NA,240,NA,NA,NA,214,233,262,NA,223,NA,NA,NA,NA,"KP",5,5,"KP5-2021","Starts out with plateau beign 2/3 of image and mountains in distance+sky filling the remaining 1/3. Camera angle pushed downwards 29 August, only showing plateau ground. Blocked by snow starting Oct. 1st.","Photos start July 28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,2021,NA,NA,NA,2021-08-28,NA,2021-09-21,NA,NA,2021-07-07,2021-08-02,2021-08-26,2021-09-12,"Salix richardsonii",NA,2021-07-12,2021-09-08,NA,NA,240,NA,NA,188,214,238,255,NA,193,NA,NA,251,NA,"KP",6,6,"KP9-2021","Shows shrub in foreground, a few shrubs in the background and a strip of ground in between.","from 10-20 July 2021 camera is facing the sky, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,2021,NA,NA,NA,2021-08-28,NA,2021-09-28,NA,NA,NA,2021-08-04,2021-08-27,2021-09-09,"Salix pulchra",NA,2021-08-13,2021-09-13,NA,NA,240,NA,NA,NA,216,239,252,NA,225,NA,NA,256,NA,"KP",7,7,"KP4-2021","Image consistently shows mostly plateau with a thin strip at the top showing lake and valley in distance.","did not take photos at initial set up. Photos start 6 July 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,2021,NA,NA,2021-06-26,2021-08-28,NA,2021-10-03,NA,2021-06-27,2021-07-06,2021-08-10,2021-08-25,2021-09-05,"Salix richardsonii",NA,2021-08-03,2021-09-03,NA,177,240,NA,178,187,222,237,248,NA,215,NA,NA,246,NA,"KP",8,8,"KP6-2021","Until July 6, shows mostly a shrub with plateau ground. From July 6, shows a shrub in the foreground and top 1/3 of image is mountain/lake/sky. From 28 Sept., image shows ground and a lower plateau ridge. Camera under snow Nov. 15-Dec. 1 and intermittently in December.","photos start 24 June 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,2021,NA,NA,NA,2021-08-28,NA,2021-09-21,NA,NA,2021-07-09,2021-08-08,2021-08-24,2021-09-08,"Salix richardsonii",NA,2021-08-04,2021-09-03,NA,NA,240,NA,NA,190,220,236,251,NA,216,NA,NA,246,NA,"KP",9,9,"KP8-2021","Image shows 2 shrubs with some ground in between and top quarter of image is lake and valley. July 8-20 camera is pointed at the ground. July 21 on the camera shows one bush in the middle, ground around and a bit of the valley at the top of the image","did not take photos at initial set up. Photos start 6 July 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,2022,NA,2022-06-18,2022-06-23,NA,NA,NA,2022-06-22,2022-06-27,2022-07-07,2022-08-13,NA,NA,"Salix pulchra",2022-06-23,NA,NA,169,174,NA,173,178,188,225,NA,NA,NA,NA,NA,NA,NA,52,"KP",10,10,"KP1-2021","Blocked by snow until June 1st. Shows only ground until June 22. Then 3/4 of image is the plateau and the top 1/4 is the valley in the distance.","Frame very crooked until June 22. Pictures end August 15th so no info on snow at end of season",2022-06-22,"(green lower on the plateau in the distance)",174,173,NA,NA,NA,NA,NA
"49",NA,2022,NA,NA,NA,NA,NA,NA,NA,2022-06-23,2022-07-05,2022-08-14,NA,NA,"Salix pulchra",2022-06-22,2022-08-14,NA,NA,NA,NA,NA,174,186,226,NA,NA,NA,226,NA,NA,NA,NA,"KP",11,11,"KP2-2021","Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Did not record Nov. 13 2021 to June 22 2022, so snowmelt data NA.",NA,"(First picture on June 22 already shows much green)",173,NA,NA,NA,NA,NA,NA
"50",NA,2022,NA,2022-06-15,2022-06-16,NA,NA,NA,2022-06-21,2022-06-26,2022-07-08,2022-08-02,NA,NA,"Salix richardsonii",2022-06-19,2022-08-12,NA,166,167,NA,172,177,189,214,NA,NA,NA,224,NA,NA,NA,42,"KP",12,12,"KP7-2021","Only shows snow (and sometimes a branch) until June 1. Then, shows ground with the bottom of a shrub at the top of the image.",NA,2022-06-21,"(buds)",170,172,NA,NA,NA,NA,NA
"51",NA,2022,NA,2022-06-21,NA,NA,NA,NA,2022-06-24,2022-06-28,2022-07-08,2022-07-30,NA,NA,"Salix richardsonii",2022-06-23,2022-07-27,NA,172,NA,NA,175,179,189,211,NA,NA,NA,208,NA,NA,NA,36,"KP",13,13,"KP3-2021","Blocked by snow until June 3rd. Image mostly shows plateau ground with a thin strip of mountainous landscape at the top.",NA,2022-06-24,"(green on bushes in foreground)",174,175,NA,NA,NA,NA,NA
"52",NA,2022,NA,2022-06-17,2022-06-18,NA,NA,NA,2022-06-19,2022-06-27,2022-07-09,2022-08-02,2022-08-15,NA,"Salix pulchra",2022-06-26,NA,NA,168,169,NA,170,178,190,214,227,NA,NA,NA,NA,NA,NA,44,"KP",14,14,"KP5-2021","Blocked by snow until June 12. Camera pointed directly towards ground. Moved further away from ground on June 22; still only shows ground, just less close up.",NA,2022-06-19,"(green blades of grass)",177,170,NA,NA,NA,NA,NA
"53",NA,2022,NA,2022-06-18,2022-06-19,NA,NA,NA,2022-06-22,2022-06-27,2022-07-05,2022-08-10,NA,NA,"Salix richardsonii",2022-06-24,NA,NA,169,170,NA,173,178,186,222,NA,NA,NA,NA,NA,NA,NA,49,"KP",15,15,"KP9-2021","Only snow visible Oct 31-Jun 12. Camera pointed towards grounds.",NA,2022-06-22,"(green blades of grass)",175,173,NA,NA,NA,NA,NA
"54",NA,2022,NA,2022-06-19,2022-06-21,NA,NA,NA,2022-06-24,2022-06-28,2022-07-03,2022-08-15,NA,NA,"Salix pulchra",2022-06-24,2022-08-14,NA,170,172,NA,175,179,184,227,NA,NA,NA,226,NA,NA,NA,52,"KP",16,16,"KP4-2021","Blocked by snow until Jan. 22, then again 21-27 March and 9 April-2 June. Shows mostly plateau ground between these dates. 3-7 June, shows 1/3 plateau ground, 1/3 mountains in distance, 1/3 sky. Pointed directly at plateau ground 8-26 June.","Frame very askew 8-26 June",2022-06-24,"(grass starting to green, one bud in foreground)",175,175,NA,NA,NA,NA,NA
"55",NA,2022,NA,2022-06-26,NA,NA,NA,NA,2022-06-26,NA,NA,NA,NA,NA,"Salix richardsonii",2022-06-25,NA,NA,177,NA,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP",17,17,"KP6-2021","Blocked by snow until Jan. 22, then again 21 March to 7 June. Bottom half is plateau and Salix sp. Shrub, top half is lake/mountain/sky","Knocked askew sometime between March 21 and June 7",2022-06-26,"(buds)",176,177,NA,NA,NA,NA,NA
"56",NA,2022,NA,2022-06-21,2022-06-22,NA,NA,NA,2022-06-17,2022-06-26,2022-07-07,2022-08-15,NA,NA,"Salix richardsonii",2022-06-27,NA,NA,172,173,NA,168,177,188,227,NA,NA,NA,NA,NA,NA,NA,59,"KP",18,18,"KP8-2021","Facing towards the ground",NA,2022-06-17,"(blades of green grass)",178,168,NA,NA,NA,NA,NA
"57","CG1-2021",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,2021-08-15,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,270,NA,NA,NA,227,NA,NA,NA,NA,NA,283,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SA1",NA,2021-08-31,NA,243
"58","CG1-2021",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,2021-08-12,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,270,NA,NA,NA,224,NA,NA,NA,NA,NA,283,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC16CESA2",NA,2021-08-26,NA,238
"59","CG1-2021",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,2021-08-11,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,270,NA,NA,NA,223,NA,NA,NA,NA,NA,283,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP18SA2",NA,2021-08-17,NA,229
"60","CG1-2021",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,NA,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA8",NA,NA,NA,NA
"61","CG1-2021",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,2021-07-14,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,270,NA,NA,NA,195,NA,NA,NA,NA,NA,283,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA3",NA,2021-07-31,NA,212
"62","CG1-2021",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,2021-07-22,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,270,NA,NA,NA,203,NA,NA,NA,NA,NA,283,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA6",NA,2021-08-09,NA,221
"63","CG1-2021",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,2021-08-05,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,270,NA,NA,NA,217,NA,NA,NA,NA,NA,283,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA10",NA,2021-08-19,NA,231
"64","CG1-2021",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,2021-07-25,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,270,NA,NA,NA,206,NA,NA,NA,NA,NA,283,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SA9",NA,2021-08-10,NA,222
"65","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC17SA1",NA,NA,NA,NA
"66","CG1-2021",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC16CESA2",NA,NA,NA,NA
