PhenocamID,ShrubID_Standard,Shrub,Year,Observer,Notes,Plants first visible through snow,Snow Free Melt Date (>90% plot free of snow),First 100% snow-free day,First snow return day - end of season,50% snow coverge - end of season,100% snow coverage - end of season,First leaf bud burst,Certainty Index ,First yellowing of leaves,Certainty Index (1-5),Last leaf starts turning yellow,Certainty Index (1-5),,,,,,,,,,,,,,,,
CG2-2021,H17SR9,H17Sr9,2021,JS,,NA,NA,NA,03/10/2021,NA,03/10/2021,NA,NA,29/06/2021,4,27/07/2021,4,,,,,,,,,,,,,,,,
CG2-2021,H17SR9,H17Sr9,2022,JS,,23/04/2022,24/04/2022,24/04/2022,NA,NA,NA,06/05/2022,4,19/06/2022,5,12/08/2022,3,,,,,,,,,,,,,,,,
CG3-2021,H15SA14,H15Sa14,2021,JS,full snow could be Oct. 3 but camera is blocked so unconfirmed),NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,18/07/2021,5,NA,NA (not all plant visible anymore in the view),,,,,,,,,,,,,,,,
CG3-2021,H17SA20,H17Sa20,2021,JS,full snow could be Oct. 3 but camera is blocked so unconfirmed),NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,11/07/2021,4,15/08/2021,3,,,,,,,,,,,,,,,,
CG3-2021,K15PSA8,K15PSa8,2021,JS,full snow could be Oct. 3 but camera is blocked so unconfirmed),NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,31/07/2021,3,30/08/2021,3,,,,,,,,,,,,,,,,
CG3-2021,H15SA7,H15Sa7,2021,JS,full snow could be Oct. 3 but camera is blocked so unconfirmed),NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,05/07/2021,3,28/07/2021,3,,,,,,,,,,,,,,,,
CG3-2021,K15PSA7,K15PSa7,2021,JS,full snow could be Oct. 3 but camera is blocked so unconfirmed),NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,27/06/2021,2,11/08/2021,3,,,,,,,,,,,,,,,,
CG3-2021,K15PSA2,K15PSa2,2021,JS,Hard to distinguish as there is a weed in front. full snow could be Oct. 3 but camera is blocked so unconfirmed),NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,H17SA17,H17sa17,2021,JS,"Hard to distinguish, too far and too small. full snow could be Oct. 3 but camera is blocked so unconfirmed)",NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,KP17SA9,KP17SA9,2021,JS,"Hard to distinguish, too far and too small. full snow could be Oct. 3 but camera is blocked so unconfirmed)",NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,K15PSA6,K15PSa6,2021,JS,full snow could be Oct. 3 but camera is blocked so unconfirmed),NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,30/07/2021,4,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,H15SA12,H15Sa12,2021,JS,full snow could be Oct. 3 but camera is blocked so unconfirmed),NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,07/07/2021,4,05/08/2021,3,,,,,,,,,,,,,,,,
CG3-2021,K15PSA12,K15PSa12,2021,JS,"Plant only partly in the focus, not possible to identify. full snow could be Oct. 3 but camera is blocked so unconfirmed)",NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,H15SA14,H15Sa14,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,09/05/2022,4,15/07/2022,4,NA,NA because most of the shrub got covered with the black mesh material,,,,,,,,,,,,,,,,
CG3-2021,H17SA20,H17Sa20,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,12/05/2022,3,01/07/2022,4 (Could be disease but maybe not),10/08/2022,4,,,,,,,,,,,,,,,,
CG3-2021,K15PSA8,K15PSa8,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,18/05/2022,3,01/08/2023,3,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,H15SA7,H15Sa7,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,09/05/2022,4,21/07/2022,4,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,K15PSA7,K15PSa7,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,13/05/2022,3,16/07/2022,4,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,K15PSA2,K15PSa2,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,19/05/2022,2,14/08/2022,1,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,H17SA17,H17sa17,2022,JS,"Hard to distinguish, too far and too small",07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,KP17SA9,KP17SA9,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,20/05/2022,3,06/08/2022,3,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,K15PSA6,K15PSa6,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,18/05/2022,3,30/07/2022,2,NA,NA,,,,,,,,,,,,,,,,
CG3-2021,H15SA12,H15Sa12,2022,JS,,07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,09/05/2022,4,21/06/2022,3,11/08/2022,3,,,,,,,,,,,,,,,,
CG3-2021,K15PSA12,K15PSa12,2022,JS,"Plant not complete in the focus, not possible to identify",07/04/2022,24/04/2022,25/04/2022,NA,NA,NA,19/05/2022,3,29/07/2022,3,14/08/2022,4,,,,,,,,,,,,,,,,
CG4-2021,H15SP15,H15Sp15,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,01/07/2021,4,15/07/2021,4,,,,,,,,,,,,,,,,
CG4-2021,H15SP15,H15Sp15,2022,JS,,19/04/2022,22/04/2022,25/04/2022,NA,NA,NA,09/05/2022,4,24/06/2022,4,29/06/2022,4,,,,,,,,,,,,,,,,
CG5-2021,KP16SR57,KP16SR57,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,16/08/2021,4,13/09/2021,3,,,,,,,,,,,,,,,,
CG5-2021,PP17SR16,PP17SR16,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,16/08/2021,4,12/09/2021,3,,,,,,,,,,,,,,,,
CG5-2021,KP16SR57,KP16SR57,2022,JS,,08/04/2022,23/04/2022,25/04/2022,NA,NA,NA,19/05/2022,3,09/08/2022,4,NA,NA,,,,,,,,,,,,,,,,
CG5-2021,PP17SR16,PP17SR16,2022,JS,,08/04/2022,23/04/2022,25/04/2022,NA,NA,NA,20/05/2022,4,03/08/2022,4,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM2,KLSRE9,KLSRE9,2021,JS,tall bushes always visible,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,18/05/2021,4,20/07/2021,4,02/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM2,KLSRE7,KLSRE7,2021,JS,tall bushes always visible,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,11/05/2021,3,NA,NA (camera changes focus),03/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM2,KLSRE6,KLSRE6,2021,JS,tall bushes always visible,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,09/05/2021,3,NA,"NA (camera changes focus, definitely between 21/07 and 11/08)",01/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM2,HESR7,HeSR7,2021,JS,tall bushes always visible,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,NA,NA,NA,NA,NA,"Not visible, but definitely all yellow max 23/07",,,,,,,,,,,,,,,,
KLUANECAM2,H15SR20,H15SR20,2021,JS,tall bushes always visible,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM2,H15SR19,H15SR19,2021,JS,tall bushes always visible,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,19/05/2021,4,12/07/2021,3,23/07/2021,2,,,,,,,,,,,,,,,,
KLUANECAM2,HESR8,HESR8,2021,JS,tall bushes always visible,,23/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,NA,NA,05/07/2021,2,16/07/2021,3,,,,,,,,,,,,,,,,
KLUANECAM2,KLSRE9,KLSRE9,2022,JS,Snow obs - visible only tall shrubs,24/03/2022,23/04/2022,24/04/2022,NA,NA,NA,17/05/2022,2,13/08/2022,4,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM2,KLSRE7,KLSRE7,2022,JS,,24/03/2022,23/04/2022,24/04/2022,NA,NA,NA,18/05/2022,3,NA,Disease,NA,Disease,,,,,,,,,,,,,,,,
KLUANECAM2,KLSRE6,KLSRE6,2022,JS,,24/03/2022,23/04/2022,24/04/2022,NA,NA,NA,11/05/2022,2,NA,2,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM2,HESR7,HeSR7,2022,JS,,24/03/2022,23/04/2022,24/04/2022,NA,NA,NA,19/05/2022,2,24/07/2022,2,09/08/2022,3,,,,,,,,,,,,,,,,
KLUANECAM2,H15SR20,H15SR20,2022,JS,,24/03/2022,23/04/2022,24/04/2022,NA,NA,NA,19/05/2022,3,06/07/2022,3,20/07/2022,3,,,,,,,,,,,,,,,,
KLUANECAM2,H15SR19,H15SR19,2022,JS,,24/03/2022,23/04/2022,24/04/2022,NA,NA,NA,22/05/2022,3,18/07/2022,3,12/08/2022,3,,,,,,,,,,,,,,,,
KLUANECAM2,HESR8,HESR8,2022,JS,,24/03/2022,23/04/2022,24/04/2022,NA,NA,NA,20/05/2022,3,16/07/2022,4,30/07/2022,3,,,,,,,,,,,,,,,,
KLUANECAM10,HERSP12,HER_SP_12,2021,JS,tall bushes always visible,,23/04/2021,24/04/2021,27/09/2021,NA,12/10/2021,08/05/2021,2,24/06/2021,4,16/07/2021,3,,,,,,,,,,,,,,,,
KLUANECAM10,KLSPE12,KLSpE12,2021,JS,tall bushes always visible,,23/04/2021,23/04/2021,27/09/2021,NA,12/10/2021,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM10,KLSPE11,KLSpE11,2021,JS,tall bushes always visible,,24/04/2021,25/04/2021,27/09/2021,NA,12/10/2021,20/05/2021,3,12/08/2021,3,10/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM10,KLSPE14,KLSpE14,2021,JS,tall bushes always visible,,25/04/2021,26/04/2021,27/09/2021,NA,12/10/2021,19/05/2021,4,10/08/2021,3,29/08/2021,3,,,,,,,,,,,,,,,,
KLUANECAM10,HERSP11,HER_SP_11,2021,JS,tall bushes always visible,,26/04/2021,27/04/2021,27/09/2021,NA,12/10/2021,NA,NA,NA,NA,18/07/2021,2,,,,,,,,,,,,,,,,
KLUANECAM10,HERSP11,HER_SP_12,2022,JS,,06/04/2022,23/04/2022,23/04/2022,NA,NA,NA,18/05/2022,2,NA,NA,04/08/2022,3,,,,,,,,,,,,,,,,
KLUANECAM10,KLSPE12,KLSpE12,2022,JS,,06/04/2022,23/04/2022,23/04/2022,NA,NA,NA,27/05/2022,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM10,KLSPE11,KLSpE11,2022,JS,,06/04/2022,23/04/2022,23/04/2022,NA,NA,NA,25/05/2022,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM10,KLSPE14,KLSpE14,2022,JS,,06/04/2022,23/04/2022,23/04/2022,NA,NA,NA,23/05/2022,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM10,HERSP11,HER_SP_11,2022,JS,,06/04/2022,23/04/2022,23/04/2022,NA,NA,NA,20/05/2022,2,NA,NA,05/08/2022,2,,,,,,,,,,,,,,,,
KLUANECAM11,HESP17,HESp17,2022,JS,,06/04/2022,23/04/2022,23/04/2022,NA,NA,NA,NA,NA,03/08/2022,2,08/08/2022,3,,,,,,,,,,,,,,,,
CG6-2021,KP16SR37,KP16Sr37,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,10/07/2021,"3 (Could be rust, is yellowing for more than a month)",15/09/2021,3,,,,,,,,,,,,,,,,
CG6-2021,PC17SR4,PC17sr4,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,22/08/2021,3,16/09/2021,3,,,,,,,,,,,,,,,,
CG6-2021,"PC17SR5
","PC17sr5
",2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,30/08/2021,3,21/09/2021,3,,,,,,,,,,,,,,,,
CG6-2021,KP16SR52,KP16SR52,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,14/07/2021,1 (Could be disease),06/09/2021,3,,,,,,,,,,,,,,,,
CG6-2021,"KP16SR53
","KP16SR53
",2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,22/08/2021,3,31/08/2021,3,,,,,,,,,,,,,,,,
CG6-2021,"PC17SR6
","PC17Sr6
",2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,30/08/2021,3,10/08/2021,3,,,,,,,,,,,,,,,,
CG6-2021,"H17SR15
","H17Sr15
",2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,01/07/2021,3,30/07/2021,4,,,,,,,,,,,,,,,,
CG6-2021,H18SR10,H18SR10,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,28/06/2021,3 (Definitely yellow already but don't have earlier picture),22/07/2021,3,,,,,,,,,,,,,,,,
CG6-2021,KP16SR37,KP16Sr37,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG6-2021,PC17SR4,PC17sr4,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG6-2021,"PC17SR5
","PC17sr5
",2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG6-2021,KP16SR52,KP16SR52,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG6-2021,"KP16SR53
","KP16SR53
",2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG6-2021,"PC17SR6
","PC17Sr6
",2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG6-2021,"H17SR15
","H17Sr15
",2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG6-2021,H18SR10,H18SR10,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRC13,KLSRC13,2021,JS,tall bushes always visible,,23/04/2021,26/04/2021,27/09/2021,NA,12/10/2021,22/05/2021,3,05/08/2021,4,08/09/2021,4,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRE15,KLSRE15,2021,JS,tall bushes always visible,,24/04/2021,27/04/2021,27/09/2021,NA,12/10/2021,20/05/2021,2,07/08/2021,3,10/09/2021,4,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRE14,KLSRE14,2021,JS,tall bushes always visible,,25/04/2021,28/04/2021,27/09/2021,NA,12/10/2021,21/05/2021,3,06/08/2021,3,31/08/2021,3,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRE13,KLSRE13,2021,JS,tall bushes always visible,,26/04/2021,29/04/2021,27/09/2021,NA,12/10/2021,20/05/2021,3,08/08/2021,3,05/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRC10,KLSRC10,2021,JS,tall bushes always visible,,27/04/2021,30/04/2021,27/09/2021,NA,12/10/2021,22/05/2021,2,07/08/2021,3,07/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM3,H15SP27,H15Sp27,2021,JS,tall bushes always visible,,28/04/2021,01/05/2021,27/09/2021,NA,12/10/2021,19/05/2021,1,12/08/2021,1,21/07/2021,2,,,,,,,,,,,,,,,,
KLUANECAM3,PC16CESP7,PC16CESP7,2021,JS,tall bushes always visible,,29/04/2021,02/05/2021,27/09/2021,NA,12/10/2021,15/05/2021,1,29/07/2021,1,31/08/2021,2,,,,,,,,,,,,,,,,
KLUANECAM3,H17SP10,H17Sp10,2021,JS,tall bushes always visible,,30/04/2021,03/05/2021,27/09/2021,NA,12/10/2021,19/05/2021,1,23/06/2021,1,21/07/2021,2,,,,,,,,,,,,,,,,
KLUANECAM3,HERSP29,HER-SP 29,2021,JS,tall bushes always visible,,01/05/2021,04/05/2021,27/09/2021,NA,12/10/2021,NA,NA,04/08/2021,1,06/08/2021,2,,,,,,,,,,,,,,,,
KLUANECAM3,KP17SP9,KP17SP9,2021,JS,tall bushes always visible,,02/05/2021,05/05/2021,27/09/2021,NA,12/10/2021,20/05/2021,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,KP16SP33,KP16Sp33,2021,JS,tall bushes always visible,,03/05/2021,06/05/2021,27/09/2021,NA,12/10/2021,23/05/2021,3,16/07/2021,2,16/08/2021,2,,,,,,,,,,,,,,,,
KLUANECAM3,H15SP29,H15Sp29,2021,JS,tall bushes always visible,,04/05/2021,07/05/2021,27/09/2021,NA,12/10/2021,19/05/2021,2,08/07/2021,1,16/07/2021,2,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRC13,KLSRC13,2022,JS,In 2022 - Camera knocked out until 19th of June 2022,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,17/08/2022,3,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRE15,KLSRE15,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRE14,KLSRE14,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,15/08/2022,1,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRE13,KLSRE13,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,KLSRC10,KLSRC10,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,H15SP27,H15Sp27,2022,JS,Too small to see,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,PC16CESP7,PC16CESP7,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,H17SP10,H17Sp10,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,15/07/2022,2,03/08/2022,1,,,,,,,,,,,,,,,,
KLUANECAM3,HERSP29,HER-SP 29,2022,JS,Too small to see,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,KP17SP9,KP17SP9,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,KP16SP33,KP16Sp33,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,16/08/2022,3,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM3,H15SP29,H15Sp29,2022,JS,,10/04/2022,19/04/2022,20/04/2022,NA,NA,NA,NA,NA,17/07/2022,2,26/07/2022,2,,,,,,,,,,,,,,,,
KLUANECAM4,KPSR5,KP_Sr_5,2021,JS,2021 season began with pics on the 23/06,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,08/08/2021,3,07/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM4,KLSPE6,KLSPE6,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,10/08/2021,3,09/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM4,KLSRE4,KLSRE4,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,15/08/2021,3,14/09/2021,3,,,,,,,,,,,,,,,,
KLUANECAM4,HESR2,HeSR2,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,06/08/2021,3,14/09/2021,2,,,,,,,,,,,,,,,,
KLUANECAM4,KP17SR2,KP17SR2,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,07/08/2021,3,25/08/2021,3,,,,,,,,,,,,,,,,
KLUANECAM4,KP17SR2,KP17SR2,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,10/08/2021,2,31/08/2021,2,,,,,,,,,,,,,,,,
KLUANECAM4,G,G,2021,JS,,NA,NA,NA,27/09/2021,NA,12/10/2021,NA,NA,05/08/2021,2,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM4,KPSR5,KP_Sr_5,2022,JS,Camera did not work from 07/05-20/06. tall shrubs visible from 23/03,,23/04/2022,24/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM4,KLSPE6,KLSPE6,2022,JS,tall shrubs visible from 23/03,23/03/2022,23/04/2022,24/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM4,KLSRE4,KLSRE4,2022,JS,tall shrubs visible from 23/03,23/03/2022,23/04/2022,24/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM4,HESR2,HeSR2,2022,JS,tall shrubs visible from 23/03,23/03/2022,23/04/2022,24/04/2022,NA,NA,NA,NA,NA,06/08/2022,1,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM4,KP17SR2,KP17SR2,2022,JS,tall shrubs visible from 23/03,23/03/2022,23/04/2022,24/04/2022,NA,NA,NA,NA,NA,08/08/2022,1,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM4,KP17SR2,KP17SR2,2022,JS,tall shrubs visible from 23/03,23/03/2022,23/04/2022,24/04/2022,NA,NA,NA,NA,NA,04/08/2022,2,NA,NA,,,,,,,,,,,,,,,,
KLUANECAM5,G,G,2022,JS,tall shrubs visible from 23/03,23/03/2022,23/04/2022,24/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
TREENOCAM,NA,NA,2021,JS,tall bushes always visible,,22/04/2021,26/04/2021,03/10/2021,NA,16/11/2021,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
TREENOCAM,NA,NA,2022,JS,tall shrubs always present ?,,23/04/2022,25/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
