"","PhenocamID","Year","plant_first_vis","Snow_melt","All_snow_free","Snow_return_EoS","Half_snow_cover_EoS","Full_snow_cover_EoS","First_leaf_bud_burst","Half_leaves_green","All_leaves_green","First_leaf_yellow","Half_leaves_yellow","All_leaves_yellow","Species","Salix_bud_burst","Salix_first_yellow","Salix_last_yellow","Snow_melt_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","First_leaf_bud_burst_DOY","Half_leaves_green_DOY","All_leaves_green_DOY","First_leaf_yellow_DOY","Half_leaves_yellow_DOY","All_leaves_yellow_DOY","Salix_first_bud_burst_DOY","Salix_first_yellow_DOY","Half_snow_cover_EoS_DOY","Full_snow_cover_EoS_DOY","Salix_last_yellow_DOY"
"18","QHI_1",2016,NA,NA,NA,NA,NA,NA,NA,2016-06-21,2016-07-07,2016-07-20,2016-08-23,NA,"Salix arctica",NA,2016-07-29,NA,NA,NA,NA,NA,173,189,202,236,NA,NA,211,NA,NA,NA
"19","QHI_2",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-29,NA,NA,"Salix arctica",NA,2016-07-29,NA,NA,NA,NA,NA,NA,NA,211,NA,NA,NA,211,NA,NA,NA
"20","QHI_3",2016,NA,NA,NA,NA,NA,NA,NA,2016-06-27,2016-07-10,2016-07-28,2016-08-18,NA,"Salix pulchra",NA,NA,NA,NA,NA,NA,NA,179,192,210,231,NA,NA,NA,NA,NA,NA
"21","QHI_14",2016,NA,2016-06-25,2016-07-02,NA,NA,NA,NA,2016-06-20,2016-07-05,2016-07-27,2016-08-18,NA,"Salix richardsonii",NA,NA,2016-08-28,177,184,NA,NA,172,187,209,231,NA,NA,NA,NA,NA,241
"22","QHI_5",2016,NA,NA,NA,NA,NA,NA,NA,2016-06-21,2016-07-08,2016-07-28,2016-08-19,NA,"Salix arctica",NA,2016-07-29,2016-08-26,NA,NA,NA,NA,173,190,210,232,NA,NA,211,NA,NA,239
"23","QHI_6",2016,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-09,2016-07-26,2016-08-21,NA,"Salix pulchra",NA,NA,2022-08-27,NA,NA,NA,NA,NA,191,208,234,NA,NA,NA,NA,NA,239
"24","QHI_1",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-23,NA,NA,"Salix arctica",NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,182,NA,NA,NA
"25","QHI_2",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-26,NA,NA,"Salix arctica",NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,182,NA,NA,NA
"26","QHI_3",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-21,NA,NA,"Salix pulchra",NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,202,NA,NA,NA,182,NA,NA,NA
"27","QHI_4",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-25,NA,NA,"Salix richardsonii",NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,182,NA,NA,NA
"28","QHI_5",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-02,NA,NA,"Salix arctica",NA,2022-07-31,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,212,NA,NA,NA
"29","QHI_6",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-31,NA,NA,"Salix pulchra",NA,2022-07-20,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,201,NA,NA,NA
"30","QHI_7",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-28,NA,NA,"Salix richardsonii",NA,2022-07-28,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,209,NA,NA,NA
"31","QHI_9",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-24,NA,NA,"Salix richardsonii",NA,2022-07-22,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,203,NA,NA,NA
"32","QHI_10",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-04,NA,NA,"Salix arctica",NA,2022-07-26,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,207,NA,NA,NA
"33","QHI_11",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-26,NA,NA,"Salix richardsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA
"34","QHI_12",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-28,NA,NA,"Salix pulchra",NA,2022-07-27,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,208,NA,NA,NA
"35","QHI_13",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-27,NA,NA,"Salix arctica",NA,2022-08-03,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,215,NA,NA,NA
"36","QHI_14",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-07,NA,NA,"Salix richardsonii",NA,2022-07-29,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,210,NA,NA,NA
"37","QHI_15",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-02,NA,NA,"Salix pulchra",NA,2022-08-03,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,215,NA,NA,NA
"38","QHI_18",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica",NA,2022-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA
"39","QHI_19",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-28,NA,NA,"Salix arctica",NA,2022-07-31,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,212,NA,NA,NA
"40","QHI_20",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-26,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA
